,ticker,tradeDate,real_return,market_value,pred
751,600397,2014-07-31,0.12470588,4207329498.5,-0.39580435
482,600967,2014-07-31,0.12457684,12153169545.2,-0.5986758
176,600892,2014-07-31,0.12434018,1076281250.0,-0.2538695
822,600186,2014-07-31,0.12403101,2740022722.38,-0.34071642
75,600794,2014-07-31,0.12302483,4202757745.4,-0.39441997
41,600382,2014-07-31,0.12238806,3434553330.0,-0.39846328
896,601872,2014-07-31,0.12213740000000001,12368815139.6,-0.2771477
360,600668,2014-07-31,0.12210339,3860620550.16,-0.35955432
211,600106,2014-07-31,0.12129380000000001,3367722820.0,-0.24361895
515,600171,2014-07-31,0.12110727,5841913391.91,-0.2802595
646,600516,2014-07-31,0.12044534,16985304534.6,-0.44708273
19,600099,2014-07-31,0.12029089999999999,1593002400.0,-0.27043372
258,600712,2014-07-31,0.11928934,2145942118.4,-0.25830904
635,600452,2014-07-31,0.11870504,1779200000.0,-0.3733749
763,600499,2014-07-31,0.11794298,12473393910.3,-0.6510558
858,600604,2014-07-31,0.11645813,5885407084.1,-0.35301006
483,600969,2014-07-31,0.11640625,2691426816.0,-0.60698843
837,600462,2014-07-31,0.11639344,3256058000.0,-0.26060212
292,601599,2014-07-31,0.11542857,2782500000.0,-0.36622545
205,600037,2014-07-31,0.11372180000000001,11282465192.9,-0.34252313
371,600789,2014-07-31,0.11270125,3251006905.25,-0.49346262
318,600280,2014-07-31,0.11206897,5994308031.84,-0.46916434
638,600461,2014-07-31,0.11149425,2871000000.0,-0.34131762
670,600834,2014-07-31,0.11141304,3513530820.8,-0.33398852
720,600083,2014-07-31,0.11020408,1690500000.0,-0.2569558
935,601888,2014-07-31,0.11018957,32957787182.7,-0.7839942
223,600243,2014-07-31,0.10958904,1729005000.0,-0.36823842
729,600126,2014-07-31,0.10904255,3154409700.0,-0.2887961
15,600095,2014-07-31,0.10836502,1900246351.9,-0.27893624
409,600130,2014-07-31,0.10833333,3686400000.0,-0.34355795
147,600613,2014-07-31,0.10779221,6853919226.0,-0.31826073
716,600069,2014-07-31,0.10757946,3375780248.96,-0.36616924
570,600777,2014-07-31,0.10631229,5647572209.37,-0.48084044
382,600880,2014-07-31,0.10614525,11742386668.1,-0.4078085
544,600674,2014-07-31,0.10585405,25766268634.5,-0.5627528
73,600792,2014-07-31,0.10504634,4806079078.0,-0.34188083
378,600826,2014-07-31,0.10500309,6810198642.72,-0.4794067
611,600228,2014-07-31,0.10434783,2220144000.0,-0.3888948
600,600128,2014-07-31,0.10400867,2299873100.0,-0.32125154
416,600184,2014-07-31,0.1039969,5395733243.01,-0.41198486
609,600226,2014-07-31,0.1038961,2810456288.64,-0.52557456
95,601558,2014-07-31,0.10322581,12463240000.0,-0.24334976
780,600863,2014-07-31,0.1027668,14693594850.0,-0.54590076
832,600337,2014-07-31,0.1024,4042565118.75,-0.2884519
502,600051,2014-07-31,0.10235294,2642480000.0,-0.36218536
652,600628,2014-07-31,0.10147292,4658561605.2,-0.51665074
181,601003,2014-07-31,0.1,5894424360.0,-0.26760918
116,600279,2014-07-31,0.1,3386713393.8,-0.38149136
351,600568,2014-07-31,0.09918846,4061452106.8,-0.6309031
106,600208,2014-07-31,0.09883721,21530470856.1,-0.4413503
348,600565,2014-07-31,0.09756098,7034762957.94,-0.28643143
640,600505,2014-07-31,0.09747706,3179028600.0,-0.29208404
148,600614,2014-07-31,0.0974026,6116599984.88,-0.4435136
532,600500,2014-07-31,0.09724238,14351957303.2,-0.33869678
830,600335,2014-07-31,0.09708122,9651272199.68,-0.29598758
736,600265,2014-07-31,0.09667025,1208438000.0,-0.19040942
365,600781,2014-07-31,0.09666884,2718946747.84,-0.3431661
271,600817,2014-07-31,0.09649953,1700819566.74,-0.3437745
221,600241,2014-07-31,0.0952381,1362312000.0,-0.24287423
217,600158,2014-07-31,0.09478168,7922675152.47,-0.45818734
259,600713,2014-07-31,0.09430894,4265521182.0,-0.2775469
242,600408,2014-07-31,0.0942029,2778768000.0,-0.19846666
52,600575,2014-07-31,0.09408602,10728531841.9,-0.39258644
117,600290,2014-07-31,0.09368421,5005394751.0,-0.4121672
108,600270,2014-07-31,0.09335727,10087066360.8,-0.5735258
36,600372,2014-07-31,0.09321267,38877500929.8,-0.3786698
449,600570,2014-07-31,0.09302326,17798967235.8,-0.5005928
415,600138,2014-07-31,0.09276879,10143411200.0,-0.542537
784,600900,2014-07-31,0.09237537,112530000000.0,-0.38299164
220,600240,2014-07-31,0.09225092,7719454512.0,-0.45315707
8,600077,2014-07-31,0.09223301,4494773459.84,-0.3207494
51,600573,2014-07-31,0.09180791,1770000000.0,-0.26626515
212,600107,2014-07-31,0.0910596,2174400000.0,-0.3017893
343,600448,2014-07-31,0.09071274,1955545787.63,-0.32630965
302,600145,2014-07-31,0.08997429,1469194650.0,-0.28293657
172,600857,2014-07-31,0.08992806,3118046874.1,-0.4317279
155,600724,2014-07-31,0.08962264,6127822141.04,-0.27340052
287,601231,2014-07-31,0.08947538,31434258497.1,-0.4894382
128,600551,2014-07-31,0.08888889,8649612561.6,-0.39279374
410,600131,2014-07-31,0.08857809,2162696914.95,-0.35913554
374,600822,2014-07-31,0.08757637,4870454015.48,-0.36315638
349,600566,2014-07-31,0.08753709,15801014054.2,-0.45606703
498,601908,2014-07-31,0.08684211,6534254067.2,-0.34828925
552,600682,2014-07-31,0.08673895,4296277003.15,-0.44399008
82,600898,2014-07-31,0.08667737,1573223398.6,-0.27469668
756,600468,2014-07-31,0.08612874,5031797760.0,-0.2726175
77,600796,2014-07-31,0.08540925,1693880049.28,-0.28429592
182,601005,2014-07-31,0.08502024,10956975772.6,-0.33679876
311,600211,2014-07-31,0.08482996,3810064130.0,-0.3448445
825,600189,2014-07-31,0.08367072,2300805000.0,-0.34946057
234,600327,2014-07-31,0.08333333,2879849207.76,-0.39352515
630,600355,2014-07-31,0.08323133,2010184382.0,-0.296758
448,600529,2014-07-31,0.08277027,3047380514.24,-0.27317002
672,600836,2014-07-31,0.08182784,2950631358.75,-0.3606848
379,600827,2014-07-31,0.08181027,19791476190.5,-0.52094686
34,600370,2014-07-31,0.08080808,2209961005.56,-0.33535427
138,600584,2014-07-31,0.08057851,8258333344.8,-0.44024432
269,600815,2014-07-31,0.08,4315364950.5,-0.48724928
213,600108,2014-07-31,0.07981221,12440787623.2,-0.6474309
389,601258,2014-07-31,0.07916667,12583200000.0,-0.2870415
516,600175,2014-07-31,0.07915994,9001347688.23,-0.38536227
843,600540,2014-07-31,0.07915994,1873765454.06,-0.31767476
908,600235,2014-07-31,0.07899160000000001,2090235000.0,-0.30864266
275,600868,2014-07-31,0.07883817,4574538316.39,-0.40064812
533,600501,2014-07-31,0.07835531,5017865604.0,-0.7031828
459,600707,2014-07-31,0.07833537,6019310310.96,-0.3767543
342,600446,2014-07-31,0.07820681,8072240640.0,-0.56905264
871,600698,2014-07-31,0.0781893,4723032758.4,-0.31762823
280,600975,2014-07-31,0.07792208,1624115673.18,-0.33473006
99,601717,2014-07-31,0.07734807,8802692460.0,-0.35356626
373,600820,2014-07-31,0.07722772,13763731140.8,-0.4271376
776,600716,2014-07-31,0.07721046,5947023091.02,-0.30856338
617,600297,2014-07-31,0.07692308,2866500000.0,-0.29157445
359,600667,2014-07-31,0.07638889,5146304855.04,-0.3593552
238,600401,2014-07-31,0.07613636,9525809779.2,-0.41575897
227,600249,2014-07-31,0.07594937,2488500000.0,-0.3324754
777,600860,2014-07-31,0.07544141,2629060000.0,-0.20130172
66,600721,2014-07-31,0.07542579,2209963070.1,-0.32560402
906,600233,2014-07-31,0.07531381,1577400000.0,-0.3709214
384,600886,2014-07-31,0.07509158,37051687474.6,-0.51801324
174,600859,2014-07-31,0.07483795,7853174453.36,-0.6744424
