date,close
2012-11-14,2.059
2012-11-15,2.048
2012-11-16,2.038
2012-11-19,2.038
2012-11-20,2.038
2012-11-21,2.069
2012-11-22,2.048
2012-11-23,2.059
2012-11-26,2.048
2012-11-27,2.028
2012-11-28,2.018
2012-11-29,2.018
2012-11-30,2.038
2012-12-03,2.069
2012-12-04,2.079
2012-12-05,2.119
2012-12-06,2.099
2012-12-07,2.119
2012-12-10,2.13
2012-12-11,2.119
2012-12-12,2.13
2012-12-13,2.109
2012-12-14,2.18
2012-12-17,2.19
2012-12-18,2.18
2012-12-19,2.17
2012-12-20,2.19
2012-12-21,2.18
2012-12-24,2.16
2012-12-27,2.292
2013-01-04,2.271
2013-01-07,2.282
2013-01-08,2.302
2013-01-09,2.282
2013-01-10,2.282
2013-01-11,2.231
2013-01-14,2.271
2013-01-15,2.292
2013-01-16,2.282
2013-01-17,2.261
2013-01-18,2.282
2013-01-21,2.282
2013-01-22,2.241
2013-01-23,2.261
2013-01-24,2.241
2013-01-25,2.211
2013-01-28,2.241
2013-01-29,2.231
2013-01-30,2.251
2013-01-31,2.19
2013-02-01,2.201
2013-02-04,2.211
2013-02-05,2.282
2013-02-06,2.241
2013-02-07,2.251
2013-02-08,2.271
2013-02-18,2.261
2013-02-19,2.241
2013-02-20,2.261
2013-02-21,2.201
2013-02-22,2.201
2013-02-25,2.19
2013-02-26,2.14
2013-02-27,2.15
2013-02-28,2.18
2013-03-01,2.16
2013-03-04,2.13
2013-03-05,2.14
2013-03-06,2.17
2013-03-07,2.15
2013-03-08,2.13
2013-03-11,2.119
2013-03-12,2.099
2013-03-13,2.089
2013-03-14,2.069
2013-03-15,2.079
2013-03-18,2.048
2013-03-19,2.059
2013-03-20,2.089
2013-03-21,2.099
2013-03-22,2.099
2013-03-25,2.099
2013-03-26,2.069
2013-03-27,2.069
2013-03-28,2.038
2013-04-02,2.079
2013-04-03,2.069
2013-04-08,2.059
2013-04-09,2.069
2013-04-10,2.079
2013-04-11,2.059
2013-04-12,2.059
2013-04-15,2.038
2013-04-16,2.048
2013-04-17,2.048
2013-04-18,2.048
2013-04-19,2.069
2013-04-22,2.089
2013-04-23,2.048
2013-04-24,2.069
2013-04-25,2.059
2013-04-26,2.069
2013-05-02,2.048
2013-05-03,2.059
2013-05-06,2.079
2013-05-07,2.079
2013-05-08,2.089
2013-05-09,2.079
2013-05-10,2.089
2013-05-13,2.079
2013-05-14,2.059
2013-05-15,2.059
2013-05-16,2.069
2013-05-20,2.089
2013-05-21,2.099
2013-05-22,2.079
2013-05-23,2.059
2013-05-24,2.079
2013-05-27,2.069
2013-05-28,2.099
2013-05-29,2.089
2013-05-30,2.069
2013-05-31,2.069
2013-06-03,2.059
2013-06-04,2.038
2013-06-05,2.028
2013-06-06,2.008
2013-06-07,1.977
2013-06-13,1.917
2013-06-14,1.917
2013-06-17,1.906
2013-06-18,1.896
2013-06-19,1.886
2013-06-20,1.835
2013-06-21,1.815
2013-06-24,1.714
2013-06-25,1.643
2013-06-26,1.622
2013-06-27,1.622
2013-06-28,1.633
2013-07-02,1.643
2013-07-03,1.633
2013-07-04,1.643
2013-07-05,1.643
2013-07-08,1.592
2013-07-09,1.592
2013-07-10,1.622
2013-07-11,1.683
2013-07-12,1.643
