,ticker,tradeDate,real_return,market_value,pred
621,600223,2015-08-31,-0.03529412,5955759600.0,0.49869743
622,600225,2015-08-31,-0.17088608,5912313232.0,0.49873447
664,600639,2015-08-31,0.01244019,23458429463.7,0.49632496
667,600773,2015-08-31,-0.13720137,10682980705.0,0.49969313
671,600777,2015-08-31,0.0,7379994940.0,0.50053006
708,600064,2015-08-31,-0.09023415,13558486782.0,0.5009738
710,600067,2015-08-31,-0.10927573,11670459989.0,0.49841785
736,600340,2015-08-31,-0.14819137,68022474174.0,0.49846336
748,600622,2015-08-31,-0.02447552,5883635472.0,0.49690795
755,600638,2015-08-31,0.08003597,6240143680.0,0.49976516
757,600641,2015-08-31,0.0,8932238396.0,0.50028586
762,600647,2015-08-31,0.02835333,2551893624.0,0.50130355
763,600648,2015-08-31,-0.01006441,28202071644.0,0.4968365
764,600649,2015-08-31,-0.02217125,39076807380.0,0.49764293
766,600734,2015-08-31,-0.41182467,3448787904.0,0.5013085
768,600736,2015-08-31,0.0,9733487135.0,0.49992582
801,600162,2015-08-31,-0.040625,4914000640.0,0.49913615
810,600266,2015-08-31,-0.03976802,18914172800.0,0.4999255
817,600393,2015-08-31,0.0,2496000000.0,0.5010627
824,600463,2015-08-31,-0.04051724,2923200000.0,0.5007004
843,600604,2015-08-31,0.91534884,8173193825.0,0.49967209
845,600606,2015-08-31,-0.06370795,169989116968.0,0.49990502
854,600696,2015-08-31,-0.15500443,3844985624.0,0.50028586
858,600716,2015-08-31,-0.07749627,4969430026.0,0.49998164
865,600791,2015-08-31,-0.05731523,3002594400.0,0.5001545
872,600848,2015-08-31,0.04679144,5973332024.0,0.49905846
914,600185,2015-08-31,-0.21843177,11344333068.0,0.50018084
929,600239,2015-08-31,-0.00998336,6433451979.0,0.49981195
945,600503,2015-08-31,-0.0746114,15462098500.0,0.49678868
959,600807,2015-08-31,-0.20454545,8681714272.0,0.4986875
1,600070,2015-08-31,0.07344633,3156025935.0,0.49844778
20,600152,2015-08-31,0.02713704,2163052254.0,0.49926844
23,600156,2015-08-31,-0.26224329,5090721462.0,0.49570027
33,600370,2015-08-31,0.03366584,2557559554.0,0.49973822
90,600987,2015-08-31,-0.09773756,7020175500.0,0.4990344
108,600272,2015-08-31,0.05299016,3210030000.0,0.49926785
193,601718,2015-08-31,-0.32719151,69078870000.0,0.49645835
214,600107,2015-08-31,-0.02503477,5176800000.0,0.50025576
235,600400,2015-08-31,-0.03394256,10905546596.0,0.49478024
292,601599,2015-08-31,-0.08415033,4619707704.0,0.5009855
347,600448,2015-08-31,0.0,3932209771.0,0.50025576
385,601566,2015-08-31,-0.06029506,8958593948.0,0.50061077
410,600137,2015-08-31,-0.24652241,2515991488.0,0.49961808
443,600626,2015-08-31,0.02093802,8480299032.0,0.498682
444,600630,2015-08-31,0.07870369999999999,7341608448.0,0.49787128
486,601339,2015-08-31,-0.1168437,9885000000.0,0.49867806
514,600177,2015-08-31,-0.06880734,29124081036.0,0.50100946
555,600689,2015-08-31,-0.36291913,3057077673.0,0.50025576
598,603518,2015-08-31,-0.0328849,3959944800.0,0.49951032
618,600220,2015-08-31,-0.20812183,10539541173.0,0.4959619
653,600510,2015-08-31,-0.09978992,7573376104.0,0.4991237
738,600398,2015-08-31,-0.08512021,69143544450.4,0.49900594
742,600493,2015-08-31,-0.08296558,3081760000.0,0.49840105
922,600232,2015-08-31,0.02578019,2687975345.0,0.5002756
971,603001,2015-08-31,0.16942910000000003,8709285600.0,0.5010947
977,603555,2015-08-31,-0.06292646,16197320000.0,0.49980864
2,600071,2015-08-31,0.00890585,3733067700.0,0.500774
5,600074,2015-08-31,-0.34369025,47194536760.0,0.4995294
55,600651,2015-08-31,-0.1018936,10926089800.0,0.5009232
102,600203,2015-08-31,-0.08666018,3905482789.0,0.49895915
103,600206,2015-08-31,-0.08615137,10417626486.0,0.49812493
118,600360,2015-08-31,-0.16886931,5026324800.0,0.49824485
136,600584,2015-08-31,-0.18017456,15792502800.0,0.49662507
287,601231,2015-08-31,-0.107393,27960618260.0,0.49970564
329,600288,2015-08-31,0.11894273,5949216000.0,0.50006795
336,600363,2015-08-31,-0.05453149,5774067936.0,0.49752468
353,600563,2015-08-31,-0.01339784,6045750000.0,0.50150853
364,600666,2015-08-31,0.0,19967063767.0,0.5003728
365,600667,2015-08-31,-0.06968641,6837914482.0,0.4986387
448,600707,2015-08-31,0.0,10181991414.0,0.50090647
498,603328,2015-08-31,0.00240732,10156530000.0,0.50074995
511,600171,2015-08-31,-0.06132756,9338976108.0,0.49949208
558,600703,2015-08-31,-0.09162063,51977804028.0,0.5008759
807,600261,2015-08-31,-0.09228650000000001,10542267054.0,0.4976069
890,603005,2015-08-31,0.0349563,7263368676.0,0.5006251
913,600183,2015-08-31,-0.14965197,12266417746.0,0.49798813
927,600237,2015-08-31,-0.04975124,3403148688.0,0.49759814
944,600460,2015-08-31,-0.07781457,7532894720.0,0.49860552
952,600800,2015-08-31,-0.02432432,4523405400.0,0.49716604
3,600072,2015-08-31,0.0,12434385304.0,0.5009185
