,real_return,return,pred
867,-0.00142045,-0.073152342186674,0.48429932703696577
869,-0.07830189,-2.186880286600024,0.4512520810163203
878,-0.06971154,-1.950702831452316,0.4310671485594356
887,0.13834726,3.7695295112445466,0.4512520810163203
888,0.0,-0.03409942045885592,0.41186859778710216
906,0.0,-0.03409942045885592,0.4523836874810968
1,-0.07111882,-2.593929716254804,0.4512520810163203
20,-0.02356021,-1.0062252699961718,0.4983641876131785
23,0.04132231,1.1598234326144523,0.4539154049041919
34,0.02788845,0.7113452442818667,0.4475760238722136
92,0.01949025,0.4309783563394048,0.44674202202618235
115,0.00684151,0.008710743018296054,0.360572735776993
116,-0.02046385,-0.902855879275598,0.48429932703696577
198,0.0166205,0.3351741510724571,0.4338568730413227
207,-0.00726895,-0.4623551708247407,0.4082015335006793
238,-0.01325758,-0.6622805781904697,0.40204821689847076
290,0.01981506,0.4418218667193185,0.476278808034135
340,0.0,-0.21968735032637693,0.4258519874838039
349,-0.0336,-1.3413952680786,0.3961223781506161
392,0.02247668,0.530677825887404,0.36828042705406133
412,0.0318818,0.8446598964650763,0.46366141641637754
435,0.06290323,1.8802844098875868,0.45532922748654653
458,-0.00229358,-0.2962566016953693,0.3495934463570314
517,0.00688299,0.010095518150092549,0.4327835947309483
537,-0.01161103,-0.607311882595978,0.38268052567398636
563,-0.04467005,-1.7109596351891059,0.4512520810163203
608,0.028653300000000007,0.7368791222846284,0.46357612506420476
639,0.04,1.1156792184262696,0.48429932703696577
748,0.01392111,0.24505727202182695,0.42871392922659096
826,0.00648298,-0.00325848137907611,0.4082015335006793
827,0.04717854,1.35532877663761,0.39268114836587165
2,0.03918919,1.1844549663053885,0.4512520810163203
33,0.02795699,0.78852626350429,0.4184346326659019
58,-0.00247219,-0.2840851362839197,0.362978666714878
61,-0.00715564,-0.4491741022152425,0.39596439489398616
109,-0.04212454,-1.681808066655097,0.45636983623124533
110,0.02,0.5080468624162296,0.4633249364401647
140,0.0177305,0.4280482698869751,0.41460262367800177
