sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
深公司债-择时,2.46,-0.63,0.83,6.01,2.54,29,8,0.45,5.37,56,0.03,2.20,4.70,5.43,73.45
深证ETF,8.21,-45.47,-40.15,143.84,12.76,11,9,23.84,0.45,1235,1.53,7.31,43.27,0.34,51.27
深证ETF-择时,1.36,-29.93,-18.39,56.08,2.29,9,10,14.79,0.17,891,0.95,-0.20,18.50,0.09,49.56
深证转债,10.04,-55.06,-46.25,67.98,6.26,8,17,22.79,0.54,32,1.46,0.36,30.15,0.44,51.60
深证转债-择时,4.01,-23.54,-21.54,23.12,4.14,17,10,14.35,0.35,945,0.92,3.09,16.28,0.28,49.82
深证红利,15.34,-70.31,-69.13,388.15,26.58,12,11,27.81,0.65,2386,1.78,8.38,92.18,0.55,52.53
深证红利-择时,12.14,-30.98,-30.18,120.80,15.08,12,10,23.44,0.61,714,1.50,7.96,53.86,0.52,52.51
深证100,11.03,-71.56,-70.19,327.81,21.67,14,10,27.67,0.52,1862,1.77,4.48,91.60,0.40,52.85
深证100-择时,11.36,-44.44,-34.74,117.40,14.93,14,11,22.60,0.59,841,1.45,7.49,57.17,0.50,52.53
深证中小板R,14.97,-67.15,-60.83,189.55,22.40,17,10,29.34,0.62,1053,1.88,11.66,92.67,0.51,54.86
深证中小板R-择时,10.85,-36.74,-30.74,125.92,14.45,17,12,21.97,0.58,741,1.41,6.92,48.89,0.49,52.92
巨潮大中盘,7.30,-50.28,-45.21,154.05,13.01,12,8,23.21,0.42,430,1.49,8.98,45.95,0.31,52.18
巨潮大中盘-择时,6.07,-17.58,-9.40,61.50,8.66,12,11,12.18,0.54,649,0.78,2.32,36.25,0.50,49.07
巨潮中小盘,6.77,-67.47,-50.39,196.80,11.58,10,7,26.33,0.38,116,1.69,2.52,45.94,0.26,54.32
巨潮中小盘-择时,3.66,-24.67,-24.53,91.43,7.00,10,12,14.87,0.32,705,0.95,0.65,41.23,0.25,49.75
深证中小红利,16.08,-50.47,-42.64,158.11,19.92,10,9,26.05,0.70,1232,1.67,19.72,45.14,0.62,54.23
深证中小红利-择时,8.00,-19.08,-13.96,76.50,9.65,8,16,15.96,0.56,506,1.02,4.79,40.26,0.50,50.52
