sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
连PVC2105,0.00,-65.64,-36.90,86.89,-0.68,9,9,17.53,0.09,35,1.12,-4.43,25.98,0.00,49.41,2021-04-12
连PVC2105-择时,3.41,-17.93,-13.01,24.96,4.23,2,4,7.53,0.48,1176,0.48,3.80,14.65,0.45,49.24,平仓
郑强麦109,-5.65,-68.02,-35.51,24.45,-5.20,12,9,11.49,-0.45,228,0.74,-4.63,8.33,-0.49,50.13,2021-04-12
郑强麦109-择时,-0.26,-35.52,-17.46,23.94,0.15,4,6,6.29,-0.01,3952,0.40,-0.48,10.91,-0.04,47.87,平仓
沪线材2105,10.68,-70.58,-43.70,105.01,13.62,11,8,21.10,0.58,2131,1.35,3.42,59.19,0.51,51.99,2021-04-12
沪线材2105-择时,1.39,-22.73,-19.03,25.03,1.72,3,4,6.68,0.24,2113,0.43,1.12,11.58,0.21,49.49,做空
连豆油2109,0.34,-79.06,-56.54,124.49,0.79,11,8,19.36,0.11,95,1.24,-5.70,34.30,0.02,50.71,2021-04-12
连豆油2109-择时,-0.37,-15.42,-9.78,10.13,-0.14,3,4,5.80,-0.03,2297,0.37,-0.19,5.84,-0.06,50.20,平仓
郑动力煤105,10.12,-54.41,-39.66,95.16,13.89,8,11,19.49,0.59,803,1.25,5.90,64.92,0.52,50.20,2021-04-12
郑动力煤105-择时,-3.48,-28.78,-17.23,16.57,-3.49,3,4,8.48,-0.38,520,0.54,-5.30,5.02,-0.41,49.51,平仓
沪锌2105,-2.84,-78.99,-70.65,97.19,1.28,8,7,23.28,-0.01,7,1.49,-0.68,44.81,-0.12,51.40,2021-04-12
沪锌2105-择时,-0.96,-32.92,-21.01,14.22,-0.57,2,4,6.59,-0.11,672,0.42,1.03,7.50,-0.15,50.94,平仓
