sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
2年期国债期货2106,1.22,-2.53,-1.52,3.68,1.20,7,7,1.11,1.10,77,0.07,1.13,2.22,1.10,53.62
2年期国债期货2106-择时,0.42,-0.66,-0.13,1.68,0.77,7,7,0.58,0.72,139,0.04,0.87,1.49,0.72,50.00
郑尿素105,16.70,-12.99,-3.49,34.26,14.77,6,10,20.02,0.87,217,1.28,15.50,27.86,0.83,53.44
郑尿素105-择时,-1.03,-12.23,-9.87,8.89,2.19,10,8,11.23,-0.04,150,0.72,3.32,6.90,-0.09,52.42
连PVC2109,0.19,-65.64,-36.90,86.89,-0.55,9,9,17.53,0.10,35,1.12,-4.41,26.48,0.01,49.45
连PVC2109-择时,5.30,-15.05,-10.37,46.68,5.14,8,10,10.41,0.55,1213,0.67,3.49,17.69,0.51,49.26
郑强麦109,-5.63,-68.02,-35.51,24.45,-5.19,12,9,11.49,-0.45,228,0.74,-4.62,8.32,-0.49,50.11
郑强麦109-择时,0.29,-26.29,-17.17,25.15,0.71,11,9,7.32,0.08,142,0.47,-0.41,10.69,0.04,48.79
沪线材2105,10.72,-70.58,-43.70,105.01,13.67,11,8,21.09,0.58,2131,1.35,3.42,59.19,0.51,51.95
沪线材2105-择时,-0.26,-37.76,-25.57,41.27,0.46,9,8,12.51,0.04,123,0.80,0.98,18.38,-0.02,50.72
连豆油2109,0.50,-79.06,-56.54,124.49,0.90,11,8,19.36,0.12,95,1.24,-5.68,34.87,0.03,50.75
连豆油2109-择时,1.57,-25.08,-19.65,39.89,2.73,9,10,12.60,0.19,622,0.81,2.50,12.91,0.12,49.36
郑动力煤105,11.82,-54.41,-39.66,95.16,14.05,8,11,19.58,0.67,803,1.25,6.00,65.38,0.60,50.34
郑动力煤105-择时,1.06,-18.13,-12.90,25.47,0.74,12,9,11.60,0.15,1069,0.74,-0.36,10.70,0.09,52.29
沪锌2105,-2.84,-78.99,-70.65,97.19,1.33,8,7,23.27,-0.01,7,1.49,-0.66,44.75,-0.12,51.38
沪锌2105-择时,0.10,-55.36,-29.88,72.29,-0.47,7,10,14.25,0.08,186,0.91,-3.08,22.60,0.01,48.40
