sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16,sta_re17
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%),择时信号
沪不锈钢2106,-9.88,-25.49,-10.83,17.55,0.75,7,6,20.03,-0.42,4,1.28,-1.75,13.79,-0.49,49.86,2021-04-19
沪不锈钢2106-择时,13.03,-13.54,5.62,31.36,18.58,6,6,20.01,0.71,60,1.28,18.31,27.13,0.65,51.81,做空
10年期国债期货2106,1.65,-7.55,-5.94,9.28,1.87,7,7,4.16,0.41,679,0.27,2.08,6.21,0.40,51.07,2021-04-19
10年期国债期货2106-择时,0.17,-8.22,-5.75,4.53,0.20,6,11,4.16,0.06,233,0.27,0.15,2.76,0.04,48.45,做多
郑PTA109,-4.25,-68.98,-50.87,69.40,-2.76,10,9,21.07,-0.10,633,1.35,-4.14,23.70,-0.20,50.06,2021-04-19
郑PTA109-择时,16.90,-38.84,-25.44,101.93,21.29,9,11,21.04,0.85,781,1.35,23.43,56.50,0.80,49.82,做多
5年期国债期货2106,0.64,-5.42,-4.83,7.77,1.16,13,9,2.98,0.23,793,0.19,1.54,3.86,0.22,51.78,2021-04-19
5年期国债期货2106-择时,0.38,-5.74,-5.41,6.55,0.81,11,11,2.98,0.14,1183,0.19,0.94,3.99,0.13,49.05,做多
2年期国债期货2106,1.22,-2.53,-1.52,3.68,1.20,7,7,1.11,1.10,77,0.07,1.13,2.22,1.10,53.62,2021-04-19
2年期国债期货2106-择时,1.15,-0.91,-0.47,3.59,1.79,7,7,1.11,1.03,249,0.07,1.93,3.28,1.03,49.34,做多
郑尿素105,16.70,-12.99,-3.49,34.26,14.77,6,10,20.02,0.87,217,1.28,15.50,27.86,0.83,53.44,2021-04-19
郑尿素105-择时,8.07,-19.36,-7.10,33.54,10.09,10,8,20.04,0.49,75,1.28,9.75,23.03,0.40,52.67,做多
连PVC2109,0.19,-65.64,-36.90,86.89,-0.55,9,9,17.53,0.10,35,1.12,-4.41,26.48,0.01,49.45,2021-04-19
连PVC2109-择时,8.60,-24.43,-18.29,65.50,9.34,9,10,17.52,0.56,920,1.12,7.03,31.60,0.49,49.71,做多
郑强麦109,-5.63,-68.02,-35.51,24.45,-5.19,12,9,11.49,-0.45,228,0.74,-4.62,8.32,-0.49,50.11,2021-04-19
郑强麦109-择时,0.84,-39.83,-26.90,49.58,1.54,12,9,11.49,0.13,1430,0.74,-0.76,18.48,0.07,49.18,做空
沪线材2105,10.72,-70.58,-43.70,105.01,13.67,11,8,21.09,0.58,2131,1.35,3.42,59.19,0.51,51.95,2021-04-19
沪线材2105-择时,2.23,-56.02,-35.56,124.14,3.52,9,8,21.11,0.22,166,1.35,-0.71,34.29,0.11,50.92,做多
连豆油2109,0.50,-79.06,-56.54,124.49,0.90,11,8,19.36,0.12,95,1.24,-5.68,34.87,0.03,50.75,2021-04-19
连豆油2109-择时,2.34,-49.35,-28.45,73.01,4.33,12,10,19.36,0.22,960,1.24,3.43,22.35,0.12,49.28,做多
郑动力煤105,11.82,-54.41,-39.66,95.16,14.05,8,11,19.58,0.67,803,1.25,6.00,65.38,0.60,50.34,2021-04-19
郑动力煤105-择时,3.79,-36.75,-24.59,42.68,2.56,11,9,19.60,0.29,176,1.25,1.16,24.26,0.19,52.18,做多
沪锌2105,-2.84,-78.99,-70.65,97.19,1.33,8,7,23.27,-0.01,7,1.49,-0.66,44.75,-0.12,51.38,2021-04-19
沪锌2105-择时,-0.72,-71.99,-39.63,88.82,-1.26,7,10,23.27,0.09,118,1.49,-3.07,23.46,-0.03,48.52,做多
