Date,601318 CH EQUITY,2318 HK EQUITY
2013/12/17,20.995,35.45
2013/12/18,20.905,36.325
2013/12/19,20.45,35.175
2013/12/20,19.485,33.55
2013/12/23,19.76,34.125
2013/12/24,19.935,34.975
2013/12/27,20.42,34.975
2013/12/30,20.405,34.85
2013/12/31,20.865,34.725
2014/1/2,20.65,34.35
2014/1/3,20.145,33.7
2014/1/6,20.145,33.375
2014/1/7,20.045,33
2014/1/8,20.315,34.05
2014/1/9,19.985,33.6
2014/1/10,19.785,33.575
2014/1/13,19.725,33.65
2014/1/14,19.995,33.85
2014/1/15,19.86,34.325
2014/1/16,20.61,34.4
2014/1/17,20.43,34.375
2014/1/20,20.36,33.5
2014/1/21,20.675,33.725
2014/1/22,20.905,33.825
2014/1/23,20.5,33.4
2014/1/24,20.265,32.975
2014/1/27,19.5,31.575
2014/1/28,19.58,31.525
2014/1/29,19.64,32.175
2014/1/30,19.57,31.45
2014/2/7,19.105,30.4
2014/2/10,19.535,30.275
2014/2/11,19.78,31.825
2014/2/12,19.61,32.2
2014/2/13,19.475,31.85
2014/2/14,19.535,32.05
2014/2/17,19.75,33.275
2014/2/18,19.345,33.15
2014/2/19,19.555,32.95
2014/2/20,19.29,32.225
2014/2/21,19.515,32.125
2014/2/24,19.42,31.7
2014/2/25,18.82,31.2
2014/2/26,18.75,31.3
2014/2/27,19,31.7
2014/2/28,19.25,31.525
2014/3/3,18.99,30.95
2014/3/4,18.985,31.125
2014/3/5,18.83,30.775
2014/3/6,18.925,31.1
2014/3/7,18.77,31.25
2014/3/10,18.09,30.725
2014/3/11,18.1,30.5
2014/3/12,18.17,30.25
2014/3/13,18.37,30.55
2014/3/14,18.34,30.225
2014/3/17,18.42,29.85
2014/3/18,18.175,29.975
2014/3/19,18,30.4
2014/3/20,18.045,29.9
2014/3/21,18.75,30.2
2014/3/24,18.875,31.125
2014/3/25,18.575,30.85
2014/3/26,18.59,31.55
2014/3/27,18.59,31.825
2014/3/28,18.685,32.125
2014/3/31,18.78,32.15
2014/4/1,18.85,32.4
2014/4/2,19.245,32.3
2014/4/3,19.28,32.725
2014/4/4,19.46,32.7
2014/4/8,19.945,33.15
2014/4/9,19.735,33.3
2014/4/10,21.14,32.3
2014/4/11,20.605,30.7
2014/4/14,20.405,30.75
2014/4/15,20.035,30.45
2014/4/16,20.095,30.125
2014/4/17,19.8,30.025
2014/4/22,19.63,29.9
2014/4/23,19.485,29.475
2014/4/24,19.76,29.425
2014/4/25,19.505,29.225
2014/4/28,19.045,28.75
2014/4/29,19.545,29.225
2014/4/30,19.57,28.675
2014/5/5,19.6,28.5
2014/5/7,19.68,28.3
2014/5/8,19.675,28.1
2014/5/9,19.63,28.125
2014/5/12,20.025,28.6
2014/5/13,19.96,28.625
2014/5/14,19.935,28.75
2014/5/15,19.815,28.725
2014/5/16,19.765,28.65
2014/5/19,19.355,28.325
2014/5/20,19.39,28.15
2014/5/21,19.585,28.375
2014/5/22,19.565,29.025
2014/5/23,19.695,29.1
2014/5/26,19.63,29.25
2014/5/27,19.635,29.125
2014/5/28,19.915,29.375
2014/5/29,19.99,29.425
2014/5/30,19.94,29.975
2014/6/3,19.95,30.275
2014/6/4,19.66,29.95
2014/6/5,19.895,30.2
2014/6/6,19.73,30.075
2014/6/9,19.85,30.05
2014/6/10,20.225,30.25
2014/6/11,20.065,30.5
2014/6/12,19.985,30.7
2014/6/13,20.415,30.85
2014/6/16,20.45,30.975
2014/6/17,20.19,30.775
2014/6/18,20.125,31.025
2014/6/19,19.905,30.675
2014/6/20,20.015,30.775
2014/6/23,19.84,30.1
2014/6/24,19.87,30.325
2014/6/25,19.71,29.825
2014/6/26,19.85,30.1
2014/6/27,19.435,29.875
2014/6/30,19.67,30
2014/7/2,19.72,30.4
2014/7/3,19.775,30.575
2014/7/4,19.94,30.325
2014/7/7,20.02,30.475
2014/7/8,20.04,30.45
2014/7/9,19.855,30.025
2014/7/10,19.7,29.55
2014/7/11,19.705,29.425
2014/7/14,19.98,29.7
2014/7/15,19.965,29.75
2014/7/16,19.86,29.5
2014/7/17,19.955,29.475
2014/7/18,19.905,29.3
2014/7/21,19.93,29.1
2014/7/22,20.11,29.85
2014/7/23,20.54,30.95
2014/7/24,21.095,32.1
2014/7/25,21.22,32.175
2014/7/28,21.915,32.575
2014/7/29,21.965,33.15
2014/7/30,21.96,33.2
2014/7/31,22.31,33.25
2014/8/1,21.86,32.775
2014/8/4,22.55,33.275
2014/8/5,22.24,32.95
2014/8/6,21.835,32.725
2014/8/7,21.495,32.375
2014/8/8,21.41,32.15
2014/8/11,21.775,32.95
2014/8/12,21.495,32.675
2014/8/13,21.875,33.15
2014/8/14,21.575,32.975
2014/8/15,21.925,33.075
2014/8/18,21.85,33.05
2014/8/19,21.685,32.9
2014/8/20,21.455,32.675
2014/8/21,21.265,32.25
2014/8/22,21.425,32.875
2014/8/25,21.125,32.725
2014/8/26,21.19,32.625
2014/8/27,21.21,32.275
2014/8/28,21.05,31.875
2014/8/29,21.25,31.55
2014/9/1,21.315,31.35
2014/9/2,21.5,31.525
2014/9/3,21.7,32.65
2014/9/4,21.99,33.125
2014/9/5,22.07,33.075
2014/9/10,21.58,32.075
2014/9/11,21.51,31.95
2014/9/12,21.44,31.95
2014/9/15,21.13,31.425
2014/9/16,20.915,31.1
2014/9/17,20.955,31.5
2014/9/18,21,31.025
2014/9/19,21.195,31
2014/9/22,20.515,30.4
2014/9/23,20.64,30.15
2014/9/24,21.175,30.4
2014/9/25,20.975,30.175
2014/9/26,20.905,29.8
2014/9/29,20.8,29.6
2014/9/30,20.67,29.15
2014/10/8,20.935,29.55
2014/10/9,20.95,29.95
2014/10/10,20.69,29.425
2014/10/13,20.44,29.325
2014/10/14,20.375,29.175
2014/10/15,20.675,29.225
2014/10/16,20.565,29.075
2014/10/17,20.58,29.425
2014/10/20,20.635,29.5
2014/10/21,20.48,29.5
2014/10/22,20.71,29.75
2014/10/23,20.57,29.825
2014/10/24,20.535,29.75
2014/10/27,20.055,29.525
2014/10/28,20.355,30.475
2014/10/29,21.025,31.35
2014/10/30,21.02,31
2014/10/31,21.5,31.675
2014/11/3,21.44,31.4
2014/11/4,21.27,31.35
2014/11/5,21.255,30.95
2014/11/6,21.07,30.75
2014/11/10,21.465,29.85
2014/11/11,21.525,30.1
2014/11/12,21.905,29.675
2014/11/13,22.15,30.275
2014/11/14,22.265,30.4
2014/11/17,21.72,29.95
2014/11/18,21.29,29.45
2014/11/19,21.285,29.45
2014/11/20,21.455,29.1
2014/11/21,21.99,29.375
2014/11/24,22.925,30.975
2014/11/25,22.935,30.85
2014/11/26,23.94,31.975
2014/11/27,24.42,32.1
2014/11/28,24.815,32.525
2014/12/1,25.375,32.425
2014/12/2,27.145,34.4
2014/12/3,27.505,35.275
2014/12/4,29.995,36.55
2014/12/5,29.565,36.5
2014/12/8,32.415,38.075
2014/12/9,29.66,35.7
2014/12/10,29.82,36.55
2014/12/11,28.41,36.85
2014/12/12,28.535,37
2014/12/15,28.995,36.25
2014/12/16,31.55,36.825
2014/12/17,31.86,36.675
2014/12/18,32.87,37
2014/12/19,32.475,37.2
2014/12/22,32.925,38.5
2014/12/23,32.685,38.05
2014/12/24,30.355,36.875
2014/12/29,35.49,39.625
2014/12/30,36.39,39.45
2014/12/31,37.355,39.55
2015/1/5,38.08,41.125
2015/1/6,36.865,40.05
2015/1/7,36.705,40.225
2015/1/8,35.54,40.95
2015/1/9,36.42,41.575
2015/1/12,37.585,41.275
2015/1/13,37.56,41.475
2015/1/14,36.925,41.675
2015/1/15,39.435,43.325
2015/1/16,39.145,44.15
2015/1/19,35.23,40.6
2015/1/20,35.31,41.8
2015/1/21,38.68,43.3
2015/1/22,37.735,42.65
2015/1/23,38.4,43.575
2015/1/26,37.805,43.825
2015/1/27,36.98,42.9
2015/1/28,36.145,42.425
2015/1/29,35.275,41.475
2015/1/30,34.645,41.3
2015/2/2,33.11,40.35
2015/2/3,34.535,41.7
2015/2/4,33.75,41.5
2015/2/5,32.97,41.5
2015/2/6,33.155,40.95
2015/2/9,34,40.875
2015/2/10,34.245,41.125
2015/2/11,35.075,41.3
2015/2/12,34.95,41.5
2015/2/13,34.96,42.75
2015/2/16,35.155,42.95
2015/2/17,35.29,42.975
2015/2/25,34.08,42.575
2015/2/26,34.935,43.25
2015/2/27,35.14,43.125
2015/3/2,34.95,43.175
2015/3/3,33.56,42.475
2015/3/4,33.47,41.6
2015/3/5,32.58,41.025
2015/3/6,32.49,41.2
2015/3/9,33.16,41.9
2015/3/10,32.85,40.875
2015/3/11,33.11,40.975
2015/3/12,34.4,41.475
2015/3/13,34.47,41.825
2015/3/16,36.735,43.175
2015/3/17,37.35,43.4
2015/3/18,38.71,43.875
2015/3/19,37.865,44.25
