Date,8801 JT EQUITY,8802 JT EQUITY
2021/4/15,2468,1904.5
2021/4/16,2511,1906
2021/4/19,2468,1874
2021/4/20,2389,1834.5
2021/4/21,2308.5,1798.5
2021/4/22,2349.5,1811
2021/4/23,2391.5,1810
2021/4/26,2399,1820
2021/4/27,2366,1797
2021/4/28,2388.5,1806
2021/4/30,2370,1795.5
2021/5/6,2430.5,1830
2021/5/7,2457.5,1841.5
2021/5/10,2515,1872.5
2021/5/11,2448,1828
2021/5/12,2404,1803.5
2021/5/13,2397.5,1779
2021/5/14,2428.5,1791.5
2021/5/17,2468.5,1805.5
2021/5/18,2567.5,1815.5
2021/5/19,2538,1798.5
2021/5/20,2521,1812.5
2021/5/21,2501.5,1803
2021/5/24,2522.5,1793.5
2021/5/25,2529,1795.5
2021/5/26,2545.5,1811.5
2021/5/27,2551,1812
2021/5/28,2615.5,1811.5
2021/5/31,2549.5,1773.5
2021/6/1,2568,1772
2021/6/2,2702.5,1835.5
2021/6/3,2705.5,1853
2021/6/4,2677,1838.5
2021/6/7,2701.5,1838
2021/6/8,2702,1851.5
2021/6/9,2767.5,1926.5
2021/6/10,2747,1933.5
2021/6/11,2695,1910
