Date,IBM US EQUITY,ABC US EQUITY
2019/12/17,134.22,83.15
2019/12/18,134.41,83.55
2019/12/19,134.56,83.8
2019/12/20,135.59,85.67
2019/12/23,135.55,85.6
2019/12/24,134.98,85.42
2019/12/26,134.91,85.05
2019/12/27,135.27,84.91
2019/12/30,132.81,83.64
2019/12/31,134.04,85.02
2020/1/2,135.42,85.08
2020/1/3,134.34,84.01
2020/1/6,134.1,85.24
2020/1/7,134.19,84.63
2020/1/8,135.31,85.45
2020/1/9,136.74,86.66
2020/1/10,136.69,87.04
2020/1/13,136.6,86.15
2020/1/14,135.82,88.83
2020/1/15,136.62,91.37
2020/1/16,137.98,91.46
2020/1/17,138.31,91.06
2020/1/21,139.17,91.25
2020/1/22,143.89,92.03
2020/1/23,142.87,91.16
2020/1/24,140.56,88.92
2020/1/27,138.62,87.52
2020/1/28,139.55,89.11
2020/1/29,137.69,89.86
2020/1/30,136.77,88.88
2020/1/31,143.73,85.56
2020/2/3,146.27,85.7
2020/2/4,149.11,88.09
2020/2/5,156.33,91.44
2020/2/6,156.76,92.48
2020/2/7,153.41,91.94
2020/2/10,154.43,93.6
2020/2/11,153.48,94.57
2020/2/12,155.31,95.78
2020/2/13,154.31,94.52
2020/2/14,150.7,94.36
2020/2/18,151.1,94.31
2020/2/19,150.86,95.13
2020/2/20,151.22,96.53
2020/2/21,149.84,97
2020/2/24,146.43,94.93
2020/2/25,141.71,92.93
2020/2/26,139.75,93.71
2020/2/27,133.11,86.59
2020/2/28,130.15,84.32
2020/3/2,134.3,87.16
2020/3/3,128.9,85.87
2020/3/4,134.22,90.38
2020/3/5,129.55,86.97
2020/3/6,127.73,85.81
2020/3/9,117.81,83.27
2020/3/10,124.77,86.07
2020/3/11,117.97,84.96
2020/3/12,102.81,80.49
2020/3/13,107.95,90
2020/3/16,99.08,80.5
2020/3/17,106.65,89.5
2020/3/18,103.55,84.97
2020/3/19,100.34,86
2020/3/20,95.39,80.61
2020/3/23,94.77,73.93
2020/3/24,105.48,79.85
2020/3/25,105.85,75.35
2020/3/26,112.89,84.16
2020/3/27,108.03,81.78
2020/3/30,112.93,88.1
2020/3/31,110.93,88.5
2020/4/1,105.14,86.23
2020/4/2,110,83.89
2020/4/3,106.34,81.34
2020/4/6,114.82,86.29
2020/4/7,114.94,87.2
2020/4/8,119.29,88.33
2020/4/9,121.5,87.81
2020/4/13,121.15,85.45
2020/4/14,123.91,89.42
2020/4/15,118.69,88.33
2020/4/16,115.73,86.28
2020/4/17,120.12,89.19
2020/4/20,120.41,89.62
2020/4/21,116.76,85.57
2020/4/22,119.31,86.5
2020/4/23,121.35,87.26
2020/4/24,124.72,88.7
2020/4/27,125.92,90.78
2020/4/28,126.27,89.53
2020/4/29,128.69,89.34
2020/4/30,125.56,89.66
2020/5/1,121.87,86.38
2020/5/4,121.68,86.42
2020/5/5,122.58,87.97
2020/5/6,123.17,85.5
2020/5/7,121.23,88.74
2020/5/8,122.99,88.09
2020/5/11,122.59,90.64
2020/5/12,120.26,88.58
2020/5/13,115.73,84.15
2020/5/14,116.95,84.03
2020/5/15,116.98,85.75
2020/5/18,121.56,89.2
2020/5/19,120.29,89.63
2020/5/20,121.38,92.73
2020/5/21,119.12,92.25
2020/5/22,118.39,93.14
2020/5/26,121.76,90.78
2020/5/27,125.54,93.33
2020/5/28,124.53,94.4
2020/5/29,124.9,95.34
2020/6/1,124.89,95.15
2020/6/2,126,98.66
2020/6/3,129.05,99.49
2020/6/4,128.89,99.45
2020/6/5,132.06,98.97
2020/6/8,135.75,102.3
2020/6/9,131.87,99.9
2020/6/10,129.87,96.95
2020/6/11,118.01,93.51
2020/6/12,121.91,94.87
2020/6/15,121.65,96.21
2020/6/16,125.15,99.11
2020/6/17,124.15,100.15
2020/6/18,124.16,100.25
2020/6/19,122.47,102.15
2020/6/22,121.07,101.73
2020/6/23,119.41,101.5
2020/6/24,116.42,98.84
2020/6/25,119.03,100.67
2020/6/26,117.19,99.18
2020/6/29,119.75,98.99
2020/6/30,120.77,100.77
2020/7/1,118.54,99.45
2020/7/2,119.7,100.09
2020/7/6,120.19,100.72
2020/7/7,117.58,98.3
2020/7/8,117.71,97.21
2020/7/9,115.71,96.39
2020/7/10,118.35,97.05
2020/7/13,119.2,97.27
2020/7/14,120.6,99.33
2020/7/15,123,101.9
2020/7/16,124.01,102.74
2020/7/17,125.11,104.45
2020/7/20,126.37,102.19
2020/7/21,126.06,104.15
2020/7/22,128.67,103.81
2020/7/23,127.33,104.03
2020/7/24,125.79,103.76
2020/7/27,126.21,104
2020/7/28,124.47,102.11
2020/7/29,125.32,103.31
2020/7/30,122.9,102.17
2020/7/31,122.94,100.19
2020/8/3,124.31,104.48
2020/8/4,125.84,104.7
2020/8/5,125.45,103.5
2020/8/6,126.12,101.61
2020/8/7,124.96,102.1
2020/8/10,127.11,103.04
2020/8/11,126.75,101.38
2020/8/12,126.7,103.55
2020/8/13,125.03,102.73
2020/8/14,125.27,103.75
2020/8/17,124.44,103.42
2020/8/18,124.92,102.84
2020/8/19,123.84,101.71
2020/8/20,123.15,99.04
2020/8/21,123.16,98.15
2020/8/24,125.68,97.57
2020/8/25,124.64,98.28
2020/8/26,124.17,97.66
2020/8/27,124.65,98.13
2020/8/28,125.07,97.55
2020/8/31,123.31,97.03
2020/9/1,123.4,94.3
2020/9/2,128.18,98.29
2020/9/3,124.45,97.58
2020/9/4,122.3,96.6
2020/9/8,121.21,95.36
2020/9/9,122.26,96.2
2020/9/10,120.56,94.27
2020/9/11,121.46,94.08
2020/9/14,122.09,94.6
2020/9/15,122.44,94.9
2020/9/16,124.22,96.79
2020/9/17,124.92,96.81
2020/9/18,122.76,96.83
2020/9/21,120.25,95.82
2020/9/22,120.51,95.26
2020/9/23,118.83,94.14
2020/9/24,118.09,94.66
2020/9/25,118.95,96.8
2020/9/28,121.73,97.58
2020/9/29,120.94,96.16
2020/9/30,121.67,96.92
2020/10/1,121.09,95.36
2020/10/2,120.57,95.38
2020/10/5,122.01,96.39
2020/10/6,121.97,95.63
2020/10/7,124.07,95.59
2020/10/8,131.49,98.49
2020/10/9,127.79,96.86
2020/10/12,127.21,96.86
2020/10/13,125.1,97.27
2020/10/14,125.94,98.44
2020/10/15,124.89,99.35
2020/10/16,125.93,99.52
2020/10/19,125.52,97.8
2020/10/20,117.37,97.99
2020/10/21,115.06,97.73
2020/10/22,115.76,98.72
2020/10/23,116,99.38
2020/10/26,112.22,98.37
2020/10/27,110.56,97.65
2020/10/28,106.65,95.7
2020/10/29,108.91,94.59
2020/10/30,111.66,96.07
2020/11/2,112.91,98.94
2020/11/3,114.16,102.15
2020/11/4,111.9,104.99
2020/11/5,114.77,105.42
2020/11/6,114.04,103.95
2020/11/9,115.53,106.26
2020/11/10,117.91,110.08
2020/11/11,117.2,107.33
2020/11/12,114.5,106.1
2020/11/13,116.85,108.12
2020/11/16,118.36,109.01
2020/11/17,117.7,104.89
2020/11/18,116.77,103.44
2020/11/19,117.18,101.9
2020/11/20,116.94,100.46
2020/11/23,120.09,100.48
2020/11/24,124.42,103.1
2020/11/25,124.2,103.11
2020/11/27,124.35,103.2
2020/11/30,123.52,103.11
2020/12/1,123.16,102.19
2020/12/2,124.62,103.12
2020/12/3,123.61,101.5
2020/12/4,127.2,102.98
2020/12/7,124.7,99.49
2020/12/8,125.71,100.43
2020/12/9,126.79,101.11
2020/12/10,124.96,99.37
2020/12/11,124.27,98.06
2020/12/14,123.53,97.12
2020/12/15,125.93,99.03
2020/12/16,125.55,98.37
2020/12/17,125.55,98.74
2020/12/18,125.85,98.61
2020/12/21,123.39,97.67
2020/12/22,123.61,96.72
2020/12/23,123.9,97.24
2020/12/24,124.69,96.97
2020/12/28,124.82,96.8
2020/12/29,123.8,97.12
2020/12/30,124.34,96.96
2020/12/31,125.88,97.76
2021/1/4,123.94,96.5
2021/1/5,126.14,97.76
2021/1/6,129.29,106.17
2021/1/7,128.99,110.13
2021/1/8,128.53,110.03
2021/1/11,128.58,107.35
2021/1/12,129.21,106.52
2021/1/13,126.92,105.62
2021/1/14,128.97,105.64
2021/1/15,128.39,106.8
2021/1/19,129.02,103.5
2021/1/20,130.08,103.79
2021/1/21,131.65,104.91
2021/1/22,118.61,107.76
2021/1/25,118.58,106.87
2021/1/26,122.49,108.84
2021/1/27,122.47,106.84
2021/1/28,120.08,106.9
2021/1/29,119.11,104.2
2021/2/1,120.54,106.89
2021/2/2,119.44,105.62
2021/2/3,119.12,105.53
2021/2/4,121.02,111.92
2021/2/5,121.79,109.69
2021/2/8,123.61,108.49
2021/2/9,122.1,107.43
2021/2/10,122.24,106.27
2021/2/11,120.91,104.53
2021/2/12,120.8,105.18
2021/2/16,120.07,103.37
2021/2/17,119.97,105.31
2021/2/18,120.73,105.26
2021/2/19,118.99,105.87
2021/2/22,120.86,106.12
2021/2/23,120.71,106.47
2021/2/24,123.21,105.2
2021/2/25,122.47,102.85
2021/2/26,118.93,101.22
2021/3/1,120.74,103.17
2021/3/2,120.33,104.25
2021/3/3,122.36,103.34
2021/3/4,120.11,102.99
2021/3/5,122.83,104.83
2021/3/8,124.81,107.51
2021/3/9,124.18,110.13
2021/3/10,127.87,111.83
2021/3/11,127.14,109.86
2021/3/12,127.61,112.92
2021/3/15,128.58,113.86
2021/3/16,128.24,112.86
2021/3/17,129.03,114
2021/3/18,130.06,115.63
2021/3/19,128.9,115.92
2021/3/22,130.55,116.35
2021/3/23,130.46,113.77
2021/3/24,130.62,115.37
2021/3/25,133.07,117.34
2021/3/26,136.38,118.73
2021/3/29,135.86,119.05
2021/3/30,134.72,119.06
2021/3/31,133.26,118.07
2021/4/1,133.23,116.89
2021/4/5,135.93,117.01
2021/4/6,134.22,115.99
2021/4/7,134.93,116.48
2021/4/8,135.12,115.45
2021/4/9,135.73,116.81
2021/4/12,134.59,117.54
2021/4/13,131.18,117.12
2021/4/14,132.63,118
2021/4/15,132.58,119.04
2021/4/16,133.59,119.69
2021/4/19,133.12,119.5
2021/4/20,138.16,120.5
2021/4/21,143.55,121.16
2021/4/22,141.28,120.89
2021/4/23,142.43,121.65
2021/4/26,141.57,119.73
2021/4/27,142.01,118.8
2021/4/28,143,119.33
2021/4/29,144.24,121.25
2021/4/30,141.88,120.8
2021/5/3,144.75,123.79
2021/5/4,145.75,125.85
2021/5/5,145.22,118.82
2021/5/6,148.42,117.63
2021/5/7,145.46,120.86
2021/5/10,146.17,123.25
2021/5/11,144.22,120.1
2021/5/12,141.3,120.09
2021/5/13,144.17,119.46
2021/5/14,144.68,116.52
2021/5/17,145.11,118.11
2021/5/18,143.91,116.95
2021/5/19,143.19,118.74
2021/5/20,143.88,120.04
2021/5/21,144.74,120.07
2021/5/24,144.72,118.52
2021/5/25,143.79,114.99
2021/5/26,143.38,114.68
2021/5/27,143.82,115.01
2021/5/28,143.74,114.74
2021/6/1,144.19,114.32
2021/6/2,145.72,115.12
2021/6/3,145.55,116.8
2021/6/4,147.42,116.92
2021/6/7,148.02,118.26
2021/6/8,149.07,117.9
2021/6/9,150.67,117.4
2021/6/10,150.54,120.94
2021/6/11,151.28,119.84
