,ticker,tradeDate,real_return,market_value,pred
1245,600704,2019-11-29,0.03346457,25715884560.0,1.0922794
1267,603066,2019-11-29,0.06963788,2159046822.0,1.0880586
1269,603069,2019-11-29,0.33548387,2449000000.0,0.6626587
1286,603713,2019-11-29,0.07922393,5658310140.0,0.7857218
1302,600029,2019-11-29,0.08623298,81086008903.0,0.7028818
1356,601872,2019-11-29,0.39057239,36035678844.0,0.51536787
1374,603128,2019-11-29,0.05166667,6072230400.0,1.1049445
1400,600020,2019-11-29,0.06280193,9304119252.0,1.0859948
1410,600115,2019-11-29,0.13476562,83863087104.0,0.83528304
1414,600119,2019-11-29,-0.00548446,1681478000.0,0.5096687
1425,601880,2019-11-29,0.015,25789072000.0,1.0859948
4,600036,2019-11-29,0.04301971,908671036968.0,1.3760543
134,600926,2019-11-29,0.05166475,44684045484.0,1.1938484
151,601988,2019-11-29,0.01652893,1068627682060.0,1.1140115
257,601997,2019-11-29,0.03800217,29638043406.0,0.8681351
258,601998,2019-11-29,0.02833333,293608854600.0,1.1531146
303,600015,2019-11-29,0.03230148,114327074320.0,1.1990553
304,600016,2019-11-29,0.02269044,270137522145.0,0.96184945
367,601838,2019-11-29,0.06206089,30848626956.0,0.9312817
466,601229,2019-11-29,0.03264418,130557998753.0,1.136849
570,601328,2019-11-29,0.02177858,409187623566.0,1.1136376
584,601818,2019-11-29,0.06779661,216780851539.0,1.2237531
593,603323,2019-11-29,0.06438632,8961234044.0,0.94176
666,601577,2019-11-29,0.05957944,29288500528.0,1.2668337
776,601166,2019-11-29,0.04817364,392424464212.0,1.1609862
778,601169,2019-11-29,0.02158273,117554992708.0,1.0972862
857,601009,2019-11-29,0.06045949,70147859333.0,1.3814363
952,601288,2019-11-29,0.01933702,1266938582720.0,0.6551614
1063,601128,2019-11-29,0.12747525,22146115672.0,0.40968204
1068,601939,2019-11-29,0.01830986,1775077940250.0,0.92933524
1100,600000,2019-11-29,0.03862301,349583277564.0,1.3760056
1162,601398,2019-11-29,0.01554404,2063592228610.0,1.1988382
1260,600919,2019-11-29,0.04927536,79656912690.0,1.2581854
1350,600908,2019-11-29,0.06118547,9666389863.0,1.1822345
5,600037,2019-11-29,0.05134189,11927536603.0,1.1958808
53,600936,2019-11-29,0.09090909,5882012224.0,1.1524802
92,603825,2019-11-29,0.36942675,3264338034.0,0.7759797
117,600637,2019-11-29,0.06122449,30261264768.0,1.1494361
126,600825,2019-11-29,0.12573674,5318479411.0,0.9749013
149,601858,2019-11-29,0.00735294,8600640000.0,1.1063954
164,603103,2019-11-29,0.24158416,9608130000.0,1.3182776
208,600136,2019-11-29,0.34133043,4467460774.0,1.1482916
228,600551,2019-11-29,0.05943152,3915087822.0,1.4667718
237,600831,2019-11-29,0.11298077,5897556288.0,0.8981203
246,600959,2019-11-29,0.02842377,19352777499.0,1.110114
259,601999,2019-11-29,0.1352381,2892302175.0,1.3275361
284,603598,2019-11-29,1.14791403,2140627930.0,1.0660888
347,600633,2019-11-29,0.10507246,10779929892.0,1.2050066
348,600634,2019-11-29,0.09027778,829054224.0,-0.46834576
350,600636,2019-11-29,0.08085106,4201206860.0,1.0976858
368,601949,2019-11-29,0.10664336,10424700000.0,1.1046731
407,600158,2019-11-29,0.08432432,7804552450.0,1.0859948
420,600373,2019-11-29,0.13986600000000002,16179460578.0,1.3427472
431,600576,2019-11-29,0.14788732,2638654224.0,1.3621738
458,600977,2019-11-29,0.07866761,26343370000.0,0.8680673
583,601811,2019-11-29,0.08559671,14991168150.0,0.9816018
588,603096,2019-11-29,-0.02227723,7653026136.0,1.1581861
621,600226,2019-11-29,0.0979021,8976510686.0,0.5085013
624,600229,2019-11-29,0.06446777,4682980320.0,1.181593
659,600996,2019-11-29,0.04139715,8129475578.0,1.1751616
668,601801,2019-11-29,0.0703125,10184728064.0,1.2032322
698,603888,2019-11-29,0.04043393,10525916232.0,0.6491231
773,601019,2019-11-29,0.03886398,13961361000.0,1.1111082
781,601900,2019-11-29,0.05828571,7838920250.0,1.3963847
802,600242,2019-11-29,0.17814371,3050522868.0,0.95619094
834,600757,2019-11-29,0.03010033,7257628794.0,1.185977
840,600892,2019-11-29,0.059369200000000004,3015512038.0,1.058709
849,600986,2019-11-29,0.03549061,6347671117.0,0.7181501
866,601595,2019-11-29,0.09015778,4971285000.0,1.2889433
867,601599,2019-11-29,0.01529052,2919210750.0,0.36239564
875,603444,2019-11-29,0.0177993,21080892794.0,1.0859948
878,603533,2019-11-29,0.01680672,6680660000.0,0.10752165
899,603999,2019-11-29,0.15408805,3663360000.0,0.6254898
940,600880,2019-11-29,0.10220994,3957862202.0,1.2178417
962,601928,2019-11-29,0.06433566,18196035000.0,1.274078
963,601929,2019-11-29,0.05445545,6284341806.0,1.3329519
991,603721,2019-11-29,0.81655172,1885000000.0,1.1400179
