methodID,pairName,date,premium,HighBond,LowBond,meanLine,Hbond_price,Lbond_price,USPos,asiaPos,USOP,USCL,asiaOP,asiaCL,r_exOP,r_exCL,operation
signal1-model1,INFO-INFY,2021-01-06,0.0131669415326401,0.0221522005943041,-0.0215584217210732,0.000296889436615438,17.2470447868898,18.0175343873647,15.66,-1157.4,17.73,17.4,1282.1,1296.25,0.0136295488619327,0.0136258345823682,
signal1-model1,INFO-INFY,2021-01-07,0.00631811739943711,0.0212770688935647,-0.0215043644129926,-0.00011364775971397,17.1057228739901,17.8536131206901,15.66,-1157.4,17.55,17.36,1262.15,1298,0.0135685210312076,0.0136258345823682,
signal1-model1,INFO-INFY,2021-01-08,-0.0523970416979085,0.0238879107447344,-0.0305285857151038,-0.00332033748518472,16.7236914088224,17.6623933457071,-18.07,1280,18.59,18.07,1312.1,1280,0.0135814206165965,0.0135666802333469,跌下限\开盘平\收盘加仓亚股
signal1-model1,INFO-INFY,2021-01-11,-0.0458992208964722,0.0247618782093008,-0.0363724815948457,-0.00580530169277246,17.3919453217733,18.4953233622376,-18.68,1342.1,18.76,18.68,1376.2,1342.1,0.013550135501355,0.0135832654170062,跌下限\开盘平\收盘加仓亚股
signal1-model1,INFO-INFY,2021-01-12,-0.0142587945277541,0.0232848475355054,-0.037197796181507,-0.00695647432300082,18.225837754221,19.3707736994865,-18.68,1342.1,18.6,18.92,1371.75,1378,0.0136184120931499,0.0135519718118986,
signal1-model1,INFO-INFY,2021-01-13,-0.0183364798329781,0.0226703940984665,-0.0381841718357018,-0.00775688886861766,18.2669381030109,19.4226963642642,-18.68,1342.1,18.43,19.03,1387.15,1379.8,0.0136128505309012,0.0136184120931499,
signal1-model1,INFO-INFY,2021-01-14,0.0167202714224974,0.0243109537730914,-0.0384001626000943,-0.00704460441350146,18.4323865431378,19.6344619726301,-18.68,1342.1,18.22,18.57,1370.5,1526.45,0.0136239782016349,0.0136109976861304,
signal1-model1,INFO-INFY,2021-01-15,0.0267592720370411,0.0280513678142732,-0.0365958925834177,-0.00427226238457225,18.167138085777,19.3862066962081,-18.68,1342.1,18.17,18.19,1344.95,1370,0.0136109976861304,0.0136276914690651,
signal1-model1,INFO-INFY,2021-01-18,0.00638325112485272,0.0273389003271203,-0.0365772886670743,-0.00461919416997698,17.8189605515104,19.0011208191615,-18.68,1342.1,18.17,18.19,1312.05,1340,0.0136091453456723,0.0136109976861304,
signal1-model1,INFO-INFY,2021-01-19,-0.0185019544307525,0.0269873310152297,-0.0349476401937005,-0.0039801545892354,17.3842937587707,18.4999800969225,-18.68,1342.1,18.17,18.19,1316.65,1315,0.0136184120931499,0.013607293509321,
