methodID,pairName,date,premium,HighBond,LowBond,meanLine,asiaPos,usPos,operation
signal2-model1,2330-TSM,2020-10-23,0.0986189563318778,0.126718825373827,0.0665901365539917,0.0966544809639092,0,0,
signal2-model1,2330-TSM,2020-10-26,0.104554307692308,0.126463774546419,0.0698908120616371,0.0981772933040281,0,0,
signal2-model1,2330-TSM,2020-10-27,0.102081501675978,0.124591911444222,0.0750661145799868,0.0998290130121044,0,0,
signal2-model1,2330-TSM,2020-10-28,0.104587973033708,0.124165026497405,0.0778720309765158,0.101018528736961,0,0,
signal2-model1,2330-TSM,2020-10-29,0.090799175257732,0.123815507316267,0.0787298119342983,0.101272659625283,0,0,
signal2-model1,2330-TSM,2020-10-30,0.102792974828375,0.123752427350135,0.0787010813693309,0.101226754359733,0,0,
signal2-model1,2330-TSM,2020-11-02,0.0980578060046189,0.116756178426527,0.0891976131765056,0.102976895801516,0,0,
signal2-model1,2330-TSM,2020-11-03,0.105200709897611,0.116719357743114,0.0903101506027945,0.103514754172954,0,0,
signal2-model1,2330-TSM,2020-11-04,0.120932688413948,0.119575414816522,0.0899627186926204,0.104769066754571,0,0,超上限\收盘平
signal2-model1,2330-TSM,2020-11-05,0.124712403100775,0.123102917268547,0.0888039267728942,0.105953422020721,451.5,-90.42,超上限\收盘加仓美股
signal2-model1,2330-TSM,2020-11-06,0.126817424175824,0.126316096073007,0.0873284103860168,0.106822253229512,455,-89.81,超上限\开盘平\收盘加仓美股
signal2-model1,2330-TSM,2020-11-09,0.133683585152838,0.131120983642966,0.0857736664841804,0.108447325063573,458,-92.2,超上限\开盘平\收盘加仓美股
signal2-model1,2330-TSM,2020-11-10,0.120793154867257,0.132271185179026,0.08562444581119,0.108947815495108,0,0,下穿中线\开盘平
signal2-model1,2330-TSM,2020-11-11,0.104360849557522,0.132045851886116,0.085245165688517,0.108645508787316,0,0,
signal2-model1,ICICIBC-IBN,2020-08-19,0.0230939256087772,0.0382700753407166,-0.00921333933630595,0.0145283680022053,0,0,
signal2-model1,ICICIBC-IBN,2020-08-20,0.0313390663390665,0.0401369600939711,-0.00965000180370717,0.015243479145132,0,0,
