date,signal,usdtwd,usdkrw
2017-12-25,1,-1078.61797924751,1076.56
2017-12-26,1,-1078.17459008671,1076.12
2017-12-27,1,-1077.26000989157,1075.22
2017-12-28,1,-1072.31369106728,1070.26
2017-12-29,-1,1069.35956723334,-1067.38
2018-01-01,1,-1068.62861934182,1066.6
2018-01-02,1,-1065.23408586459,1063.21
2018-01-03,-1,1066.77636905768,-1064.8
2018-01-04,1,-1064.3143284499,1062.28
2018-01-05,-1,1064.00674811689,-1062.09
2018-01-08,-1,1070.78869531133,-1068.86
2018-01-09,-1,1073.92566717856,-1071.97
2018-01-10,1,-1072.15347836602,1070.14
2018-01-11,1,-1067.60944383218,1065.58
2018-01-12,1,-1062.03443386154,1059.99
2018-01-15,-1,1065.30354956535,-1063.43
2018-01-16,-1,1066.58209575177,-1064.65
2018-01-17,-1,1069.2711024376,-1067.36
2018-01-18,-1,1072.5891019707,-1070.69
2018-01-19,-1,1069.49448033228,-1067.66
2018-01-22,-1,1071.09728690756,-1069.4
2018-01-23,-1,1075.62559948482,-1073.89
2018-01-24,1,-1066.86098281266,1064.98
2018-01-25,-1,1067.87603671847,-1066.06
2018-01-26,1,-1066.50050962853,1064.67
2018-01-29,-1,1072.76644145858,-1070.95
2018-01-30,-1,1075.06238932753,-1073.23
2018-01-31,1,-1071.93683879364,1070.08
2018-02-01,-1,1072.77335740329,-1070.94
2018-02-02,-1,1091.79816925529,-1089.95
2018-02-05,-1,1096.80701761352,-1094.84
2018-02-06,1,-1082.25276437106,1080.06
2018-02-07,-1,1092.34146506726,-1090.24
2018-02-08,-1,1099.70422168229,-1097.58
2018-02-09,1,-1088.00278420799,1085.67
2018-02-12,1,-1084.84524025621,1082.6
2018-02-13,-1,1087.24328420636,-1085.05
2018-02-14,1,-1073.30257723583,1070.91
2018-02-15,1,-1066.53075951216,1064.14
2018-02-16,1,-1069.54976457982,1067.19
2018-02-19,-1,1069.73150685759,-1067.41
2018-02-20,-1,1077.24923287003,-1074.91
2018-02-21,0,-0,0
2018-02-22,-1,1083.05792291734,-1080.72
2018-02-23,1,-1079.39556303168,1077
2018-02-26,1,-1073.11971212746,1070.67
