date,A00700,A01299,A00005,A00939,A02318,A09988,A00388,A01810,A00941,A01398,A03988,A02269,A00669,A00002,A00883,A02628,A00001,A00003,A00016,A00027,A01109,A02313,A02319,A01177,A00175,A01113,A00011,A01928,A02382,A01093,A02388,A00386,A00688,A02007,A00066,A00017,A00006,A00288,A00857,A00012,A00267,A01044,A00101,A01997,A03328,A00762,A02018,A01038,A00019
2016-04-15,0.0504571755673504,0,0,0,0,NaN,0.0672480164377858,NaN,0,0,0.051041962729182,NaN,0,0,0.0727613328606783,0,0.0188786688284817,0.0469295631052689,0.0403208647622817,0.0368148258402318,0,0.0188786688284817,0,0.0728730067757706,0.125214456826713,0.0699615473766517,0,0.00198902989197265,0,0.0775880053007447,0,0,0.0395141286776437,0,0.0458758378021263,0.0322388062949259,0.0123818438759717,0.00078681600933855,0,0.060562297723789,0,0,0.00563736358854974,NaN,0.0393922657257779,0,0,0,0.0126535151702821
2016-04-18,0,0,0,0,0.0288741636599485,NaN,0.00119194340179667,NaN,0,0.0126920624772566,0.0172290441792188,NaN,0,0,0.23074695693825,0.081015697256497,0.0212040432534451,0,0.0251490058336422,0.0717082697723087,0.0318555611449503,0.00466313418445891,0,0,0,0.0544125681279066,0.0088639841662265,0.0128938722069984,0.0283516653001113,0,0.0175008881241712,0.122041011294034,0.00462329861209107,0,0,0.0472086504832608,0.00118162414564597,0,0.171388532196819,0,0,0,0,NaN,0,0,0,0,0.0052040232409621
2016-04-19,0.0994662645098311,0,0.0161897684873171,0,0,NaN,0.0112682372747123,NaN,0.0874060112138335,0,0,NaN,0.0721596805005555,0.00717643013511078,0,0,0.0446962881752825,0.0103630427772204,0.00847342632017586,0,0.0097904495624267,0.00550437511413532,0.0427302273866296,0.00974101037975953,0,0,0.0446183975241504,0,0.0657294855271432,0.0952213572097146,0.0805675834674364,0,0,0.0282326772450148,0.0769279595600579,0.00527491991696023,0.025058650014768,0,0,0,0.00251873584176175,0,0,NaN,0,0.0456375910727014,0,0.0478874985536351,0.0573599322296661
2016-04-20,0.0204027707517883,0,0.00696184261379772,0.00696184261379772,0.0510349651559839,NaN,0.00696184261379772,NaN,0,0.00696184261379772,0.00696184261379772,NaN,0.0619987897093132,0,0,0.00696184261379772,0.0469775832381727,0.0217504335332221,0.00128030742893793,0.0636807337631646,0,0,0,0.0853830324893316,0.00696184261379772,0.017741909373067,0,0,0,0,0.00696184261379772,0,0.00696184261379772,0.0776653915809457,0.0788057714029965,0,0.0138357987633812,0,0,0.0850687191030572,0.00696184261379772,0.0668720455045876,0.0209164904362621,NaN,0.0288827263979032,0.121292530112009,0,0.0667915751178996,0
2016-04-21,0,0,0,0,0.0486883788676487,NaN,0,NaN,0,0,0.0486883788676487,NaN,0,0.00886909481468158,0,0.194749581034616,0.0486883788676487,0,0,0.00601017400242006,0.00668967116660123,0,0,0.00360467518274274,0,0.0566665117591212,0.00756725610363762,0.251601938824261,0.0839350555225137,0,0,0,0,0.022365621939095,0.0164857333784307,0.00689143486984323,0.0641568985349593,0,0,0,0,0.00884167106533218,0,NaN,0,0.05743477640793,0.0486883788676487,0,0.00937638992321996
2016-04-22,0.0381693243129638,0,0.0126642766520681,0.0152450867170008,0,NaN,0.000459296774376099,NaN,0.023745908746257,0.0276847088067414,0.0384723039995818,NaN,0,0,0.0536156930278392,0.074820338730683,0,0.0528782511206695,0.0376186475992216,0.053526004966157,0,0,0.0237765139575306,0,0.00335485846130073,0.0735927136450832,0.012182713918512,0.061697652527631,0,0,0.0446467955275676,0.0688262328439737,0,0,0,0.0612780995051534,0.0201435478576048,0.0125654817084633,0.0208709857078944,0.0550931365155824,0,0,0.035333314454261,NaN,0.0278862767572705,0,0,0,0.0498518351586122
2016-04-25,0.0828910601010469,0,0.0543529517225644,0,0.0642397318050043,NaN,0.0426332120237249,NaN,0,0.0141791503542124,0,NaN,0,0.0154525964623445,0,0.0549773624109799,0.0457920599449646,0,0.0378041686498752,0,0,0,0.0628753082899182,0,0,0.0673149892678431,0.0116217220904737,0.0547216653760305,0,0,0,0,0,0,0.0268417109072715,0.051671472319522,0.0130785485234682,0.0703835211812816,0.0433477133392428,0,0.050073473656396,0.0668220791180045,0.0501292704902561,NaN,0,0,0,0,0.0187962319655747
2016-04-26,0,0,0,0.0198220535869647,0.029446461438735,NaN,0,NaN,0.059064114330649,0.0198220535869647,0,NaN,0,0,0.0694425036490886,0,0.0492943066766201,0,0,0.0326199148385088,0.0198220535869647,0.107728155005366,0.0940305475604694,0.108134115686873,0,0,0,0,0.0657454134658879,0,0,0,0,0.0652074401339734,0.0198220535869647,0,0.129518007171627,0,0.0198220535869647,0,0.00794443988360907,0,0,NaN,0,0.0656959803551457,0,0.00560695086260229,0.0114113810060217
2016-04-27,0.049835248756332,0.0090863870275285,0,0,0,NaN,0,NaN,0.0260862943536997,0.0297031180854418,0.0236402070246607,NaN,0.00260346132545877,0.00340255841252618,0,0.0946337456706239,0.00883113032241004,0,0,0.0424671413712954,0.0230847356409248,0,0.107582710910175,0.0691180553415798,0.0842544938890417,0.012636208762713,0,0,0.024991933524998,0,0.037293942524279,0,0,0,0,0,0,0.012711263742759,0,0.0286394494782871,0.0774313698232833,0,0.0235280045755767,NaN,0.0929154238820519,0,0.102878881010337,0,0.0126442345440171
2016-04-28,0,0.0436631933766533,0.0272879637216989,0,0.00722711000099577,NaN,0,NaN,0.161321436497456,0.00300278540795135,0.0117289628957942,NaN,0.00576155536997736,0,0.024420116031381,0.0205404480185082,0.0216942775024837,0,0,0.0201755832101156,0.0442085423598967,0.0383001902727858,0,0,0,0,0.0181955972011313,0.0764863853055871,0,0.136638417732681,0,0,0,0.0429550338959848,0.0223809671041928,0,0.0351518603631665,0.0764863853055871,0,0.0556598775959047,0,0,0.0235556696705073,NaN,0.0355330746906974,0.0323022164972006,0,0,0.0153223499716623
