type,code,date,code2,buy,sel,w
p2,NIFTY,DIVI IS Equity,2020-07-20,2284.68334960938,2298.75,-0.00497666439609275
p2,NIFTY,DRRD IS Equity,2020-07-20,4132.95003255208,4092.1,0.00426648071499531
p2,NIFTY,EIM IS Equity,2020-07-20,18930.3665364583,1918.77,-0.00523782159254642
p2,NIFTY,GAIL IS Equity,2020-07-20,101.233332316081,100.2,-0.00931280499532333
p2,NIFTY,GRASIM IS Equity,2020-07-20,597.09999593099,603.15,-0.0154000858328645
p2,NIFTY,HCLT IS Equity,2020-07-20,631.233337402344,648.6,-0.0385507482992114
p2,NIFTY,HDFC IS Equity,2020-07-20,1838.69999186198,1806.05,-0.0596279377281576
p2,NIFTY,HDFCB IS Equity,2020-07-20,1133.54996744792,1133.05,-0.107767378497271
p2,NIFTY,HDFCLIFE IS Equity,2020-07-20,618.65000406901,616.45,-0.00944676314684269
p2,NIFTY,HMCL IS Equity,2020-07-20,2761.95003255208,2860.15,0.024085615764757
p2,NIFTY,HNDL IS Equity,2020-07-20,161.866668701172,160.9,0.0228637149344971
p2,NIFTY,HUVR IS Equity,2020-07-20,2332.18334960938,2330.95,0.024085615764757
p2,NIFTY,ICICIBC IS Equity,2020-07-20,357.700002034505,363,-0.0229551486463328
p2,NIFTY,IIB IS Equity,2020-07-20,525.983337402344,528.75,-0.00749059627252656
p2,NIFTY,INFO IS Equity,2020-07-20,910.833333333333,934.3,0.00061217226139869
p2,NIFTY,IOCL IS Equity,2020-07-20,86.5833307902018,88.3,0.021805624744887
p2,NIFTY,ITC IS Equity,2020-07-20,194.766662597656,192.7,0.00468601167865834
p2,NIFTY,JSTL IS Equity,2020-07-20,207.733332316081,206.8,0.00971092026584211
p2,NIFTY,KMB IS Equity,2020-07-20,1328.19999186198,1319.05,0.016473508189359
p2,NIFTY,LT IS Equity,2020-07-20,928.15000406901,919.6,0.00931488035959987
p2,NIFTY,MM IS Equity,2020-07-20,588.233337402344,594,0.02341261569809
p2,NIFTY,MSIL IS Equity,2020-07-20,5921.71663411458,5867.5,0.0137096248729114
p2,NIFTY,NEST IS Equity,2020-07-20,17294.6171875,17247,0.00245555740023252
p2,NIFTY,NTPC IS Equity,2020-07-20,88.7000020345052,87.15,-0.00284048429776342
p2,NIFTY,ONGC IS Equity,2020-07-20,80.8833312988281,80.3,-0.00797046208399535
p2,NIFTY,PWGR IS Equity,2020-07-20,163.250005086263,163.5,0.024085615764757
p2,NIFTY,RIL IS Equity,2020-07-20,1916.51668294271,1919.9,0.0114413678208023
p2,NIFTY,SBILIFE IS Equity,2020-07-20,879.699991861979,854.45,0.00665405279485719
p2,NIFTY,SBIN IS Equity,2020-07-20,190.049997965495,190.75,-0.0138140861829667
p2,NIFTY,SRCM IS Equity,2020-07-20,22316.8333333333,22266.1,0.0142813457044906
p2,NIFTY,SUNP IS Equity,2020-07-20,499.216664632161,483.8,0.0374622270977758
p2,NIFTY,TATA IS Equity,2020-07-20,351.916666666667,352.4,0.0223919452735751
p2,NIFTY,TCS IS Equity,2020-07-20,2198.93334960938,2207.9,0.0236354709967762
p2,NIFTY,TECHM IS Equity,2020-07-20,602.066670735677,622.85,-0.00333624721509431
p2,NIFTY,TTAN IS Equity,2020-07-20,999.216654459635,1001.7,0.015547616622653
p2,NIFTY,TTMT IS Equity,2020-07-20,105.949999491374,105.05,0.0259477512875648
p2,NIFTY,UPLL IS Equity,2020-07-20,440.866658528646,453.65,-0.0081456056660975
p2,NIFTY,UTCEM IS Equity,2020-07-20,3860.71671549479,3865.1,0.0238291584604004
p2,NIFTY,WPRO IS Equity,2020-07-20,260.816670735677,270.8,0.024085615764757
p2,NIFTY,ADSEZ IS Equity,2020-07-21,321.049997965495,314.7,-0.0171936537089047
p2,NIFTY,APNT IS Equity,2020-07-21,1760.35001627604,1724.25,0.010619315802185
p2,NIFTY,AXSB IS Equity,2020-07-21,440.916666666667,446.2,-0.0287257283721656
p2,NIFTY,BAF IS Equity,2020-07-21,3490.20003255208,3292.45,-0.0434877068776528
p2,NIFTY,BHARTI IS Equity,2020-07-21,579.566670735677,567.75,0.00124559574291495
p2,NIFTY,BJAUT IS Equity,2020-07-21,3017.33333333333,3004.3,0.0162945021761662
p2,NIFTY,BJFIN IS Equity,2020-07-21,6685.86669921875,6384.35,-0.0126542642528688
p2,NIFTY,BPCL IS Equity,2020-07-21,437.049997965495,464.2,0.0387734457985227
