date,signal_I1,I50_I1,I300_I1,signal_I2,I300_I2,I500_I2,signal_I3,I50_I3,I500_I3
2004-07-22,1,-1097.85820270441,1097.86,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-23,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-26,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-27,-1,1083.39921342006,-1083.4,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-28,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-29,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-02,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-03,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-04,-1,1103.54944985784,-1103.55,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-05,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-06,-1,1088.23919667215,-1088.24,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-09,-1,1093.47944541195,-1093.48,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-10,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-11,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-12,-1,1074.81916018118,-1074.82,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-13,1,-1077.2483520009,1077.25,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-16,-1,1067.59952278108,-1067.6,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-17,-1,1072.50916023398,-1072.51,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-18,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-19,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-20,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-23,1,-1047.20816511139,1047.21,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-24,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-25,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-26,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-27,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-30,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-08-31,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
2004-09-01,0,-0,0,NaN,NaN,NaN,NaN,NaN,NaN
