date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-06-14,-1,4647.66000468719,-4647.66,1,-1150.45401565439,1150.33,-1,6205.65973465347,-6205.76
2005-06-15,0,-0,0,1,-1158.25262185051,1158.23,0,-0,0
2005-06-16,1,-4723.75993374103,4723.76,-1,1160.39054959801,-1160.54,1,-6282.311347194,6282.41
2005-06-17,0,-0,0,-1,1172.19754470639,-1172.33,1,-6293.46237045174,6293.56
2005-06-20,0,-0,0,-1,1170.54573993847,-1170.65,0,-0,0
2005-06-21,0,-0,0,1,-1169.27852220541,1169.15,-1,6278.35729826902,-6278.46
2005-06-22,0,-0,0,1,-1173.38001920409,1173.25,1,-6357.73065363088,6357.83
2005-06-23,0,-0,0,1,-1174.17347251951,1174.02,0,-0,0
2005-06-24,0,-0,0,-1,1173.24244456409,-1173.46,-1,6340.58854069114,-6340.69
2005-06-27,0,-0,0,-1,1161.39445560769,-1161.44,-1,6302.88711925801,-6302.99
2005-06-28,0,-0,0,1,-1170.19361026724,1170.1,1,-6316.74047716602,6316.84
2005-06-29,0,-0,0,1,-1176.4916233771,1176.48,0,-0,0
2005-06-30,0,-0,0,0,-0,0,0,-0,0
2005-07-01,0,-0,0,0,-0,0,1,-6272.04065947819,6272.14
2005-07-04,1,-4900.78995291521,4900.79,-1,1185.95412266894,-1186.09,-1,6271.09690967089,-6271.2
2005-07-05,0,-0,0,-1,1183.34496013244,-1183.41,-1,6231.93783825998,-6232.04
2005-07-06,0,-0,0,-1,1183.52434812175,-1183.63,-1,6221.94762476278,-6222.05
2005-07-07,0,-0,0,1,-1180.3461532985,1180.22,1,-6212.50161163682,6212.6
2005-07-08,0,-0,0,1,-1177.62806679853,1177.61,-1,6201.29774661283,-6201.4
2005-07-11,0,-0,0,1,-1185.25653258762,1185.02,1,-6298.76220220425,6298.86
2005-07-12,0,-0,0,1,-1186.07456541198,1186.01,1,-6358.70895856359,6358.81
2005-07-13,0,-0,0,-1,1185.51307767346,-1185.7,-1,6376.98751220621,-6377.09
2005-07-14,-1,4890.88001729498,-4890.88,1,-1191.4840683919,1191.17,1,-6418.24888171979,6418.35
2005-07-15,0,-0,0,-1,1193.14893129778,-1193.3,-1,6410.48675827815,-6410.59
2005-07-18,0,-0,0,-1,1193.29040761058,-1193.3,0,-0,0
2005-07-19,0,-0,0,1,-1191.68117837725,1191.53,0,-0,0
2005-07-20,1,-4982.24993917991,4982.25,-1,1196.19323353419,-1196.33,0,-0,0
