,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
663,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-09-27,4932.521,4934.369,4898.227,4972.827,4972.716,2524521600,37519985881.0,40.195,0.008149
664,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-09-28,4972.716,5009.905,5009.905,5099.057,5083.65,3537240400,51371160946.0,110.934,0.022309
665,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-08,5083.65,5169.235,5084.659,5178.6,5088.596,3625830900,54086032302.0,4.946,0.000973
666,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-09,5088.596,5089.641,5036.066,5142.174,5141.892,3544319100,50228436868.0,53.296,0.010474
667,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-10,5141.892,5157.894,5074.957,5166.088,5109.1,3798366600,56649783051.0,-32.792,-0.006377
668,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-11,5109.1,5110.683,4998.599,5114.231,5005.498,3639437700,51967883725.0,-103.602,-0.020278
669,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-12,5005.498,5005.562,4662.109,5006.513,4891.386,4724476200,66426070266.0,-114.112,-0.022797
670,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-15,4891.386,4896.829,4774.239,4905.594,4890.596,3424587500,52054305885.0,-0.79,-0.000162
671,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-16,4890.596,4898.385,4833.925,4943.978,4943.559,2864493500,43090426858.0,52.963,0.01083
672,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-17,4943.559,4942.829,4887.454,4955.684,4929.536,2795908900,42082747949.0,-14.023,-0.002837
673,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-18,4929.536,4923.337,4812.535,4923.337,4814.462,2746148800,40037190874.0,-115.074,-0.023344
674,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-19,4814.462,4831.987,4782.513,4884.427,4813.952,2217660100,32803813393.0,-0.51,-0.000106
675,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-22,4813.952,4775.677,4686.087,4812.223,4688.292,2335567700,33045567363.0,-125.66,-0.026103
676,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-23,4688.292,4689.109,4551.13,4736.027,4688.722,2296157300,32368956330.0,0.43,9.2e-05
677,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-24,4688.722,4700.002,4590.865,4712.314,4596.635,2231658900,31507474630.0,-92.087,-0.01964
678,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-25,4596.635,4564.339,4245.652,4564.339,4251.497,3009804000,37945338321.0,-345.138,-0.075085
679,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-26,4251.497,4196.252,4126.572,4268.312,4228.946,2156056200,27222884705.0,-22.551,-0.005304
680,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-29,4228.946,4251.173,4211.149,4289.233,4288.789,1808084600,23193128822.0,59.843,0.014151
681,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-30,4288.789,4303.702,4264.772,4388.428,4388.327,1871390100,24186509637.0,99.538,0.023209
682,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-10-31,4388.327,4422.602,4414.323,4556.794,4550.183,2630961300,35042523873.0,161.856,0.036883
683,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-01,4550.183,4557.644,4430.265,4557.644,4431.099,2339303800,31370585870.0,-119.084,-0.026171
684,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-02,4431.099,4372.868,4303.565,4404.255,4329.631,2162477000,29158751659.0,-101.468,-0.022899
685,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-05,4329.631,4306.725,4279.022,4396.036,4361.872,1747105100,22482525868.0,32.241,0.007447
686,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-06,4361.872,4365.138,4362.217,4431.381,4395.011,1642033800,21033820888.0,33.139,0.007597
687,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-07,4395.011,4404.773,4304.854,4432.363,4385.856,1566719500,20401626455.0,-9.155,-0.002083
688,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-08,4385.856,4373.628,4203.051,4373.628,4205.65,1721560900,22331532283.0,-180.206,-0.041088
689,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-09,4205.65,4174.465,4098.298,4215.869,4153.236,1592924900,20166228470.0,-52.414,-0.012463
690,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-12,4153.236,4090.908,3996.161,4119.083,4098.556,1725797400,20761740165.0,-54.68,-0.013166
691,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-13,4098.556,4121.09,4061.604,4171.249,4114.509,1672508300,19658249948.0,15.953,0.003892
692,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-14,4114.509,4149.889,4137.989,4264.397,4263.995,1949137600,23697218157.0,149.486,0.036331
693,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-15,4263.995,4258.373,4201.033,4275.242,4210.704,1924592100,24313329117.0,-53.291,-0.012498
694,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-16,4210.704,4175.57,4146.1,4224.412,4217.228,1554542900,19284447305.0,6.524,0.001549
695,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-19,4217.228,4228.578,4226.947,4319.766,4313.28,1796855100,22532106345.0,96.052,0.022776
696,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-20,4313.28,4305.544,4285.991,4389.15,4371.676,1906283500,24348987981.0,58.396,0.013539
697,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-21,4371.676,4381.336,4303.444,4399.813,4308.422,1750841300,22805260558.0,-63.254,-0.014469
698,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-22,4308.422,4254.814,4104.083,4259.764,4113.309,1552808700,19135951332.0,-195.113,-0.045286
699,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-23,4113.309,4084.577,4067.409,4194.342,4193.98,1142511700,14381578085.0,80.671,0.019612
700,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-26,4193.98,4238.577,4148.759,4266.98,4151.876,1403576800,18122894909.0,-42.104,-0.010039
701,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-27,4151.876,4130.098,4102.006,4173.195,4108.951,1199554800,15586627425.0,-42.925,-0.010339
702,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-28,4108.951,4118.447,4057.741,4154.996,4078.041,1148278400,14520221985.0,-30.91,-0.007523
703,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-29,4078.041,4108.442,4059.371,4187.229,4185.267,1639897500,20417786651.0,107.226,0.026294
704,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-11-30,4185.267,4189.253,4113.422,4196.686,4122.932,1551179800,18993589650.0,-62.335,-0.014894
705,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-03,4122.932,4113.205,4101.104,4186.483,4170.263,1405232600,17463673457.0,47.331,0.01148
706,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-04,4170.263,4174.788,4174.788,4209.044,4194.015,1396754300,17243921718.0,23.752,0.005696
707,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2007-12-05,4194.015,4190.476,4180.06,4273.134,4273.045,1769960500,22591827561.0,79.03,0.018844
