,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
13,2015-04-30,600051,57.953,0.0,0.0,1.0,s,52.564,0.10252263906856407,"2015-04-30,600051,s,57.953,平仓,10.2523%",MBI 0.2
14,2015-05-15,600051,55.216,1.0,1.0,0.0,b,57.953,0.0,"2015-05-15,600051,b,55.216,建仓",MBI 0.2
15,2015-06-19,600051,65.267,0.0,0.0,1.0,s,55.216,0.18203057084902907,"2015-06-19,600051,s,65.267,平仓,18.2031%",MBI 0.2
16,2015-12-18,600051,55.601,1.0,1.0,0.0,b,65.267,0.0,"2015-12-18,600051,b,55.601,建仓",MBI 0.2
17,2015-12-25,600051,55.344,0.0,0.0,1.0,s,55.601,-0.004622219024837615,"2015-12-25,600051,s,55.344,平仓,-0.4622%",MBI 0.2
18,2015-12-31,600051,56.627,1.0,1.0,0.0,b,55.344,0.0,"2015-12-31,600051,b,56.627,建仓",MBI 0.2
19,2016-01-08,600051,50.811,0.0,0.0,1.0,s,56.627,-0.10270718915005217,"2016-01-08,600051,s,50.811,平仓,-10.2707%",MBI 0.2
20,2016-11-04,600051,54.107,1.0,1.0,0.0,b,50.811,0.0,"2016-11-04,600051,b,54.107,建仓",MBI 0.2
21,2016-12-02,600051,54.063,0.0,0.0,1.0,s,54.107,-0.0008132034672038158,"2016-12-02,600051,s,54.063,平仓,-0.0813%",MBI 0.2
22,2016-12-23,600051,59.366,1.0,1.0,0.0,b,54.063,0.0,"2016-12-23,600051,b,59.366,建仓",MBI 0.2
23,2016-12-30,600051,56.348,0.0,0.0,1.0,s,59.366,-0.050837179530370924,"2016-12-30,600051,s,56.348,平仓,-5.0837%",MBI 0.2
24,2017-05-19,600051,41.345,1.0,1.0,0.0,b,56.348,0.0,"2017-05-19,600051,b,41.345,建仓",MBI 0.2
25,2017-05-26,600051,39.233,0.0,0.0,1.0,s,41.345,-0.051082355786673195,"2017-05-26,600051,s,39.233,平仓,-5.1082%",MBI 0.2
26,2017-06-09,600051,40.714,1.0,1.0,0.0,b,39.233,0.0,"2017-06-09,600051,b,40.714,建仓",MBI 0.2
27,2017-06-16,600051,41.497,0.0,0.0,1.0,s,40.714,0.01923171390676437,"2017-06-16,600051,s,41.497,平仓,1.9232%",MBI 0.2
28,2018-06-29,600051,27.143,1.0,1.0,0.0,b,41.497,0.0,"2018-06-29,600051,b,27.143,建仓",MBI 0.2
29,2018-07-06,600051,26.621,0.0,0.0,1.0,s,27.143,-0.01923147772906464,"2018-07-06,600051,s,26.621,平仓,-1.9231%",MBI 0.2
30,2018-07-13,600051,27.11,1.0,1.0,0.0,b,26.621,0.0,"2018-07-13,600051,b,27.11,建仓",MBI 0.2
31,2018-07-27,600051,28.976,0.0,0.0,1.0,s,27.11,0.06883068978236806,"2018-07-27,600051,s,28.976,平仓,6.8831%",MBI 0.2
32,2019-03-22,600051,32.354,1.0,1.0,0.0,b,28.976,0.0,"2019-03-22,600051,b,32.354,建仓",MBI 0.2
