ticker1,ticker2,t
601991,600795,2018-07-31
601988,601328,2018-07-31
601600,000060,2018-07-31
600809,000415,2018-08-31
002085,000826,2018-08-31
000826,000503,2018-08-31
600809,000627,2018-08-31
000627,000415,2018-08-31
601988,601398,2018-09-28
601939,002142,2018-09-28
601166,600015,2018-09-28
601009,002142,2018-09-28
600015,002142,2018-09-28
600682,000100,2018-10-31
600637,600153,2018-10-31
600663,000559,2018-10-31
600008,000839,2018-10-31
600008,000559,2018-10-31
601939,601398,2018-11-30
601857,600028,2018-11-30
601988,601398,2018-11-30
601958,600516,2018-11-30
601939,600900,2018-11-30
601166,600036,2018-12-28
601009,600016,2018-12-28
600016,000898,2018-12-28
600016,600015,2018-12-28
600219,600111,2018-12-28
601939,601398,2019-01-31
601318,600690,2019-01-31
600585,000338,2019-01-31
601169,601166,2019-01-31
601318,600036,2019-01-31
601111,600115,2019-02-28
000783,000776,2019-02-28
600369,600061,2019-02-28
000776,000728,2019-02-28
600111,600010,2019-02-28
601169,600016,2019-03-29
601169,600000,2019-03-29
601328,600016,2019-03-29
601998,601398,2019-03-29
600016,600000,2019-03-29
600118,000768,2019-04-30
600549,600010,2019-04-30
600893,600118,2019-04-30
601939,601398,2019-04-30
600893,000768,2019-04-30
601111,600029,2019-05-31
601111,000959,2019-05-31
601111,002024,2019-05-31
601919,601186,2019-05-31
601390,002236,2019-05-31
601628,601318,2019-06-28
600690,600519,2019-06-28
600109,000783,2019-06-28
600519,600436,2019-06-28
600837,600030,2019-06-28
601111,600115,2019-07-31
000898,000709,2019-07-31
600339,000898,2019-07-31
601857,000898,2019-07-31
600176,600115,2019-07-31
000425,000157,2019-08-30
600068,000629,2019-08-30
600837,600030,2019-08-30
600089,000709,2019-08-30
601328,601169,2019-08-30
600089,000709,2019-09-30
600760,000768,2019-09-30
000783,000728,2019-09-30
000776,000728,2019-09-30
600547,600489,2019-09-30
601390,600522,2019-10-31
600482,600111,2019-10-31
600109,000709,2019-10-31
600816,000100,2019-10-31
600516,600111,2019-10-31
600369,600109,2019-11-29
600704,000783,2019-11-29
601998,600015,2019-11-29
600346,600339,2019-11-29
601009,000001,2019-11-29
000783,000728,2019-12-31
601788,000776,2019-12-31
600109,000776,2019-12-31
600115,600029,2019-12-31
601788,600109,2019-12-31
601111,600115,2020-01-23
601390,601186,2020-01-23
601766,601390,2020-01-23
601390,601166,2020-01-23
601186,000709,2020-01-23
601688,000776,2020-02-28
600837,600030,2020-02-28
600115,600029,2020-02-28
600837,000776,2020-02-28
601788,600030,2020-02-28
600115,600029,2020-03-31
601788,000776,2020-03-31
000725,000100,2020-03-31
601688,000776,2020-03-31
601788,600030,2020-03-31
600221,000413,2020-04-30
600010,000415,2020-04-30
601898,002024,2020-04-30
601898,000415,2020-04-30
601898,000413,2020-04-30
601919,600999,2020-05-29
601919,000069,2020-05-29
601919,600795,2020-05-29
601186,600050,2020-05-29
600999,000069,2020-05-29
600837,000776,2020-06-30
601788,600999,2020-06-30
600115,600029,2020-06-30
002410,000661,2020-06-30
600570,002294,2020-06-30
601398,601288,2020-07-31
601111,600029,2020-07-31
600115,600029,2020-07-31
601166,600015,2020-07-31
601111,600115,2020-07-31
600016,600000,2020-08-31
000596,000568,2020-08-31
601998,601818,2020-08-31
600383,600048,2020-08-31
000858,000568,2020-08-31
600705,600655,2020-09-30
600219,600000,2020-09-30
600482,000063,2020-09-30
600299,600271,2020-09-30
601989,600655,2020-09-30
600583,600004,2020-10-30
601166,600036,2020-10-30
600221,600004,2020-10-30
601377,600030,2020-10-30
600369,000783,2020-10-30
601111,600115,2020-11-30
601600,600188,2020-11-30
601006,600000,2020-11-30
601318,601006,2020-11-30
600346,000709,2020-11-30
600498,000063,2020-12-31
601988,601398,2020-12-31
600340,002146,2020-12-31
600030,000776,2020-12-31
601377,000783,2020-12-31
