,indexID,ticker,secShortName,endDate,tradeDays,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,chg,chgPct,avgPrice,mAvgReyurn,yReturn
39,000906.ZICN,000906,中证800,2018-03-30,22,4358.817,4328.898,4499.105,4142.368,4274.796,405805585600,5.17317625317e+12,-84.0207,-0.0193,4368.433,-0.000825,-0.013593
40,000906.ZICN,000906,中证800,2018-02-28,15,4592.859,4591.673,4602.481,4047.243,4358.817,324515787400,3.95204122925e+12,-234.0425,-0.051,4359.296,-0.003328,-0.077923
41,000906.ZICN,000906,中证800,2018-01-31,22,4406.623,4420.479,4733.893,4420.479,4592.859,536761404100,6.83837770645e+12,186.236,0.0423,4599.516,0.001905,0.032079
42,000906.ZICN,000906,中证800,2017-12-29,21,4388.998,4386.31,4451.265,4319.926,4406.623,320932226900,4.2817398712e+12,17.6256,0.004,4396.14,0.000221,0.003845
43,000906.ZICN,000906,中证800,2017-11-30,22,4444.429,4445.264,4634.086,4372.194,4388.998,465217795300,6.28428458508e+12,-55.4308,-0.0125,4485.259,-0.000527,-0.008712
44,000906.ZICN,000906,中证800,2017-10-31,17,4315.171,4389.2,4478.386,4340.889,4444.429,304089306800,3.91799744023e+12,129.2574,0.03,4404.243,0.001746,0.038176
45,000906.ZICN,000906,中证800,2017-09-29,21,4278.987,4282.071,4347.447,4270.192,4315.171,444737569900,5.57719874455e+12,36.1843,0.0085,4312.898,0.000408,0.007109
46,000906.ZICN,000906,中证800,2017-08-31,23,4179.181,4178.964,4307.759,4077.9,4278.987,517125594300,6.08718035426e+12,99.8056,0.0239,4192.137,0.001054,0.016857
47,000906.ZICN,000906,中证800,2017-07-31,21,4092.301,4093.393,4183.35,4002.411,4179.181,439830806700,5.11883788373e+12,86.8799,0.0212,4111.795,0.001026,0.017987
48,000906.ZICN,000906,中证800,2017-06-30,22,3893.979,3885.27,4096.966,3844.814,4092.301,336812421200,4.05270653764e+12,198.3225,0.0509,3987.536,0.00228,0.038507
49,000906.ZICN,000906,中证800,2017-05-31,20,3921.968,3911.149,3923.809,3731.676,3893.979,325989009700,3.57448637671e+12,-27.9894,-0.0071,3850.258,-0.000337,-0.006141
50,000906.ZICN,000906,中证800,2017-04-28,18,3969.921,3995.432,4064.458,3860.468,3921.968,387003338100,4.28829712127e+12,-47.9523,-0.0121,3988.214,-0.000653,-0.013154
51,000906.ZICN,000906,中证800,2017-03-31,23,3976.328,3975.009,4037.981,3934.517,3969.921,373330310300,4.36307838128e+12,-6.4075,-0.0016,3983.832,-5.7e-05,-0.000903
52,000906.ZICN,000906,中证800,2017-02-28,18,3882.219,3885.312,4014.352,3848.601,3976.328,305663979300,3.19792474229e+12,94.109,0.0242,3941.781,0.001348,0.027688
53,000906.ZICN,000906,中证800,2017-01-26,18,3826.467,3831.469,3904.74,3717.864,3882.219,246474950100,2.57890766221e+12,55.752,0.0146,3852.265,0.000821,0.016771
54,000906.ZICN,000906,中证800,2016-12-30,22,4069.923,4076.213,4107.375,3779.987,3826.467,389395599500,4.19555854179e+12,-243.456,-0.0598,3907.318,-0.002767,-0.044927
55,000906.ZICN,000906,中证800,2016-11-30,22,3882.044,3884.89,4119.458,3857.638,4069.923,511928486300,5.40713993338e+12,187.879,0.0484,3981.006,0.002165,0.036532
56,000906.ZICN,000906,中证800,2016-10-31,16,3792.11,3808.546,3936.902,3800.24,3882.044,264571582300,2.85938543139e+12,89.934,0.0237,3878.69,0.001486,0.034446
57,000906.ZICN,000906,中证800,2016-09-30,20,3871.893,3871.046,3913.048,3738.544,3792.11,275256655100,3.19237952229e+12,-79.783,-0.0206,3819.027,-0.001011,-0.018282
58,000906.ZICN,000906,中证800,2016-08-31,23,3729.265,3718.86,3952.921,3662.509,3871.893,420293783300,4.88004315342e+12,142.628,0.0382,3826.818,0.001667,0.026784
59,000906.ZICN,000906,中证800,2016-07-29,21,3674.234,3678.539,3850.129,3650.444,3729.265,430386754900,5.32048455829e+12,55.031,0.015,3777.828,0.000747,0.013066
60,000906.ZICN,000906,中证800,2016-06-30,20,3655.327,3659.864,3701.652,3505.377,3674.234,335012003300,4.28215828637e+12,18.907,0.0052,3629.926,0.000319,0.005829
61,000906.ZICN,000906,中证800,2016-05-31,21,3651.552,3655.183,3746.063,3476.568,3655.327,293591156400,3.51999311459e+12,3.775,0.001,3575.954,0.000138,0.002403
62,000906.ZICN,000906,中证800,2016-04-29,20,3731.985,3723.746,3843.396,3600.736,3651.552,375731283500,4.47649841042e+12,-80.433,-0.0216,3728.332,-0.001037,-0.018748
63,000906.ZICN,000906,中证800,2016-03-31,23,3309.76,3314.947,3760.118,3288.666,3731.985,513783551500,5.77730578412e+12,422.225,0.1276,3594.953,0.005353,0.088424
64,000906.ZICN,000906,中证800,2016-02-29,16,3387.112,3379.461,3650.223,3253.395,3309.76,296852372400,3.15697428791e+12,-77.352,-0.0228,3483.849,-0.001173,-0.026422
65,000906.ZICN,000906,中证800,2016-01-29,20,4411.976,4407.365,4408.806,3259.279,3387.112,413891684100,4.68803662038e+12,-1024.864,-0.2323,3691.818,-0.012545,-0.20578
66,000906.ZICN,000906,中证800,2015-12-31,23,4239.106,4234.944,4615.552,4205.695,4411.976,555883745600,7.97586379605e+12,172.87,0.0408,4405.344,0.001828,0.029404
67,000906.ZICN,000906,中证800,2015-11-30,21,4156.086,4093.137,4547.538,4051.62,4239.106,733456254000,1.03862337725e+13,83.02,0.02,4388.246,0.00113,0.019823
68,000906.ZICN,000906,中证800,2015-10-30,17,3714.97,3850.513,4253.504,3822.891,4156.086,537460256300,6.90412066068e+12,441.116,0.1187,4096.036,0.006786,0.156276
69,000906.ZICN,000906,中证800,2015-09-30,20,3929.897,3859.206,3984.498,3583.025,3714.97,516368207600,5.82360079088e+12,-214.927,-0.0547,3794.186,-0.002539,-0.045345
