,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig,sig
ticker,600000,600009,600016,600028,600030,600031,600036,600048,600050,600104,600196,600276,600309,600340,600519,600547,600570,600585,600690,600703,600745,600837,600887,600918,601012,601066,601088,601111,601138,601166,601186,601211,601236,601288,601318,601319,601328,601336,601390,601398,601601,601628,601658,601668,601688,601766,601816,601818,601857,601888,601939,601988,601989,603160,603259,603501,603986,603993
tradeDate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,-1.0,-1.0,1.0,,,,,,,1.0,,,-1.0,1.0,,,,,,,,-1.0
2015-06-30,,,1.0,1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,1.0,,,,-1.0,,,,,,,1.0,,,,-1.0,,,,,,,-1.0,,,,1.0,,,,,,,,,
2015-07-31,,,,,,,,,,,1.0,,-1.0,-1.0,-1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,-1.0,,,,,,,,,,,,,-1.0
2015-08-31,,,,,-1.0,1.0,-1.0,,,,,,,-1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,-1.0,,,,,,,,,1.0,,,,,-1.0
2015-09-30,1.0,1.0,,,1.0,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,-1.0,,1.0,,,,-1.0,,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,
2015-10-30,,,-1.0,-1.0,,,,,,,,-1.0,1.0,,,,,,1.0,,,,,,,,-1.0,,,,1.0,,,,,,,,,,1.0,,,-1.0,,1.0,,,,,,,,,,,,
2015-11-30,-1.0,,,,-1.0,,,,,1.0,,-1.0,,,-1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,-1.0,,,,,,,,,,,,
2015-12-30,,1.0,,,,,1.0,,,,,-1.0,-1.0,,,,,,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,-1.0,,-1.0,,,,1.0,,,,,,
2016-01-29,,,1.0,,-1.0,,,,,,,,,,,-1.0,,,,,,,-1.0,,,,,,,-1.0,,,,,1.0,,,-1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,
2016-02-29,,,,,,,-1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,-1.0,,,1.0,-1.0,,1.0,,-1.0,,,,,-1.0,,,,,,,
2016-03-31,-1.0,-1.0,,1.0,,,1.0,,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,,,-1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
2016-04-29,,-1.0,,,,,,1.0,,,,,,,-1.0,,,,,,,,,,,,-1.0,,,1.0,,-1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,-1.0,,,,,,,
2016-05-31,,-1.0,,,,,,,,,,,,-1.0,-1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,-1.0,,,,,,,,-1.0,,,,,,
2016-06-30,-1.0,-1.0,1.0,,,,-1.0,,,,,-1.0,,,-1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,
2016-07-29,,,,1.0,,,,-1.0,,,,,,,,,,,,,,-1.0,1.0,,,,,1.0,,-1.0,,,,1.0,-1.0,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,
2016-08-31,,-1.0,,1.0,,,,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,1.0,-1.0,,,,,,-1.0,,-1.0,,1.0,,,,,,,,,,1.0
2016-09-30,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,-1.0,,1.0,,1.0,-1.0,,,,-1.0,,,1.0,,,,,,,-1.0,,,,,,,,,1.0
2016-10-31,-1.0,,,,-1.0,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,-1.0,,,,1.0,,,,,,,,,,
2016-11-30,,1.0,,,-1.0,,,-1.0,,,,,,1.0,1.0,,,,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,,,,,,-1.0
2016-12-29,,,-1.0,1.0,,,,-1.0,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,1.0,-1.0,,,1.0,,,1.0,,,-1.0,,,,,,,,1.0,,,,,,
2017-01-26,,-1.0,1.0,,,,,,-1.0,-1.0,,,,,,,,,-1.0,,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,
2017-02-28,,-1.0,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,-1.0,,1.0,-1.0,,,,,,1.0,,,,,,,,1.0,,,,,,1.0
2017-03-31,1.0,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,,1.0,,,,,-1.0,,1.0,,1.0,,,,,,,-1.0,,,,,1.0,,,,,,,
2017-04-28,,,-1.0,,-1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,-1.0,-1.0,,,1.0,,,-1.0,,,,,,,
2017-05-31,,-1.0,,,1.0,,,,,,,,-1.0,-1.0,,,,,,,,1.0,,,,,,-1.0,,,,,,1.0,-1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
2017-06-30,,,,1.0,,,,,,,,-1.0,,,,,,,,,,1.0,,,,,,,,-1.0,,-1.0,,1.0,-1.0,,,,,,-1.0,,,,1.0,,,,,,,1.0,,,,,,
2017-07-31,-1.0,,,,,,-1.0,1.0,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,,,,1.0,,,,-1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,
2017-08-31,,,,,1.0,1.0,,,,,-1.0,,,,,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,1.0,-1.0,,,,,,1.0
2017-09-29,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,-1.0,-1.0,,,,-1.0,1.0,,,1.0,,,,-1.0,,,,,,
2017-10-31,,,,,-1.0,,,,1.0,,,,-1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,-1.0,-1.0,,,,,1.0,,-1.0,,,,,,
2017-11-30,,,1.0,,1.0,,,-1.0,,,,1.0,1.0,,1.0,-1.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,-1.0
2017-12-28,,,,,,,-1.0,,,,,,,1.0,-1.0,1.0,,,,,,,1.0,,,,-1.0,,,-1.0,,,,,-1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
2018-01-31,,,,,,,-1.0,,,,-1.0,,,1.0,,-1.0,,,,,,1.0,,,,,,,,,,1.0,,,-1.0,,,,,,,,,1.0,1.0,-1.0,,,,,,,,,,,,
2018-02-28,,1.0,,,-1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,1.0
2018-03-30,,-1.0,,,,,1.0,1.0,,,,,,-1.0,,,,,,,,,,,,,-1.0,,,-1.0,1.0,,,1.0,,,,-1.0,,,,,,,,,,,,,1.0,,,,,,,
2018-04-27,,,,,,,1.0,1.0,,,,,-1.0,-1.0,,-1.0,,,,,,-1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,-1.0,,,,,,
2018-05-31,,,,,,,-1.0,,,,1.0,,,,-1.0,,,,,,,,1.0,,,,,,,,-1.0,,,,,,,,,-1.0,,,,1.0,-1.0,,,1.0,1.0,,,,,,,,,
2018-06-29,,,,,,-1.0,-1.0,,1.0,,,,,-1.0,-1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,-1.0
2018-07-31,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,-1.0,,,,-1.0,,,,-1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0
2018-08-31,,,-1.0,1.0,,,1.0,,,-1.0,,1.0,,,,1.0,,,-1.0,-1.0,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,,,,,-1.0,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,1.0,1.0,,-1.0,1.0,,,,-1.0,,1.0,,,,,1.0,,-1.0,,,,,,,
2018-10-31,,,,,,1.0,1.0,-1.0,,,,,,,,,,,,,,-1.0,,,,,1.0,,,,1.0,,,,-1.0,,-1.0,,,,,,,-1.0,1.0,,,,,,,,,,,,,
2018-11-30,,,,1.0,,1.0,,,,,,-1.0,,,-1.0,,,,,,,,,,,,,,,,,,,,-1.0,,1.0,-1.0,,,,,,,,,,1.0,,,1.0,,,,,,,-1.0
2018-12-27,,,,1.0,,,,,,,1.0,,,,,-1.0,,,,,,,1.0,,,,,1.0,,,-1.0,-1.0,,,,,,-1.0,,,,,,1.0,,-1.0,,,,,,,,,,,,
2019-01-31,,,1.0,,-1.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,-1.0,,,,1.0,,-1.0,,,,,,-1.0,,,1.0,,,,,,,,,
2019-02-28,,,1.0,,,,1.0,,-1.0,-1.0,,,1.0,,,,,,-1.0,,,,,,,1.0,,,-1.0,,1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,
2019-03-29,,,,,,,1.0,,,,,,,-1.0,,-1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,-1.0,-1.0,,,,,,,-1.0,1.0,,,,,,,,,1.0
